Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
310,Justin Minaya,SF,24,POR,6,0,6.3,0.3,1.0,.333,0.3,0.7,.500,0.0,0.3,.000,.500,0.2,0.3,.500,0.7,0.2,0.8,0.0,0.0,0.2,0.2,0.3,1.2,minayju01
311,Josh Minott,SF,21,MIN,11,0,2.5,0.7,1.3,.571,0.0,0.5,.000,0.7,0.8,.889,.571,0.4,0.5,.667,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.4,1.8,minotjo01
312,Davion Mitchell,PG,25,SAC,20,3,14.1,1.4,4.1,.346,0.6,2.2,.273,0.8,1.9,.432,.420,0.5,0.7,.769,0.1,0.9,1.0,2.2,0.3,0.1,0.7,1.4,3.9,mitchda01
313,Donovan Mitchell,SG,27,CLE,22,22,36.5,9.6,21.3,.453,3.1,8.8,.351,6.5,12.5,.526,.526,5.4,6.0,.887,1.1,4.5,5.6,5.5,1.8,0.5,2.6,2.3,27.7,mitchdo01
314,Evan Mobley,PF,22,CLE,21,21,33.6,6.8,11.8,.573,0.1,0.5,.200,6.7,11.3,.588,.577,2.4,3.1,.769,2.7,7.8,10.5,2.9,0.8,1.7,2.3,2.9,16.0,mobleev01
315,Isaiah Mobley,PF,24,CLE,2,0,5.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.5,1.0,1.0,mobleis01
316,Malik Monk,SG,25,SAC,26,0,25.2,4.8,11.1,.431,2.7,6.4,.419,2.1,4.7,.446,.552,2.3,2.6,.897,0.5,2.1,2.6,5.2,0.6,0.5,2.2,1.7,14.6,monkma01
317,Moses Moody,SG,21,GSW,27,4,18.8,3.1,6.5,.474,1.1,3.1,.345,2.0,3.4,.593,.557,1.2,1.6,.750,1.3,2.1,3.4,1.0,0.7,0.3,0.7,1.4,8.4,moodymo01
318,Xavier Moon,SG,29,LAC,2,0,6.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0,moonxa01
319,Wendell Moore Jr.,SG,22,MIN,6,0,2.3,0.2,0.5,.333,0.0,0.3,.000,0.2,0.2,1.000,.333,0.0,0.0,,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.3,moorewe01
320,Ja Morant,PG,24,MEM,1,1,35.0,12.0,24.0,.500,0.0,5.0,.000,12.0,19.0,.632,.500,10.0,12.0,.833,3.0,3.0,6.0,8.0,2.0,1.0,5.0,2.0,34.0,moranja01
321,Marcus Morris,PF,34,PHI,19,3,13.7,2.2,4.4,.506,1.1,1.9,.541,1.2,2.4,.478,.627,0.3,0.3,1.000,0.4,2.2,2.5,0.6,0.4,0.4,0.3,1.6,5.7,morrima03
322,Markieff Morris,PF,34,DAL,11,0,10.4,1.2,3.5,.342,0.6,2.1,.304,0.5,1.4,.400,.434,0.0,0.0,,0.4,1.6,2.0,0.9,0.4,0.1,0.6,0.8,3.0,morrima02
323,Trey Murphy III,SF,23,NOP,8,0,25.3,4.9,10.0,.488,2.4,6.0,.396,2.5,4.0,.625,.606,2.8,3.3,.846,0.1,3.6,3.8,1.8,0.5,0.4,0.4,0.9,14.9,murphtr02
