Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
401,Olivier Sarr,C,24,OKC,6,0,10.2,1.0,1.8,.545,0.3,0.8,.400,0.7,1.0,.667,.636,0.7,1.0,.667,0.8,3.0,3.8,0.2,0.0,0.8,0.3,2.2,3.0,sarrol01
402,Marcus Sasser,PG,23,DET,26,0,17.0,3.0,6.2,.488,1.2,2.9,.427,1.8,3.3,.541,.588,0.7,0.7,.895,0.1,1.6,1.7,2.6,0.7,0.2,0.8,1.5,7.9,sassema01
403,Admiral Schofield,PF,26,ORL,8,0,3.5,0.4,1.3,.300,0.1,0.8,.167,0.3,0.5,.500,.350,0.0,0.3,.000,0.0,0.6,0.6,0.3,0.0,0.0,0.5,0.8,0.9,schofad01
404,Dennis Schröder,PG,30,TOR,27,27,32.0,5.2,12.3,.425,1.7,4.7,.359,3.5,7.6,.466,.494,2.5,2.9,.872,0.4,2.3,2.8,6.8,1.0,0.1,1.8,2.4,14.7,schrode01
405,Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,.308,0.2,0.4,.500,0.6,2.2,.273,.346,1.0,1.2,.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8,seabrde01
406,Alperen Şengün,C,21,HOU,25,25,32.0,8.0,15.1,.529,0.7,2.3,.293,7.3,12.8,.572,.552,3.0,4.5,.670,2.5,6.4,8.9,5.2,0.9,0.9,2.6,3.2,19.7,sengual01
407,Brice Sensabaugh,SF,20,UTA,1,0,2.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,sensabr01
408,Collin Sexton,SG,25,UTA,28,5,22.9,5.0,10.9,.464,1.4,3.9,.349,3.7,7.0,.528,.526,3.5,4.0,.884,0.9,1.9,2.8,3.4,0.5,0.2,1.9,1.9,15.0,sextoco01
409,Landry Shamet,SG,26,WAS,15,0,16.9,3.2,6.7,.475,1.6,4.0,.400,1.6,2.7,.585,.594,0.3,0.7,.455,0.1,1.3,1.4,1.5,0.6,0.1,0.6,2.1,8.3,shamela01
410,Day'Ron Sharpe,C,22,BRK,27,0,15.9,2.7,5.0,.533,0.0,0.2,.000,2.7,4.8,.558,.533,1.2,2.0,.611,2.8,4.3,7.0,1.1,0.4,0.8,1.1,2.3,6.6,sharpda01
411,Shaedon Sharpe,SG,20,POR,26,25,35.0,5.7,14.0,.410,2.1,5.8,.360,3.7,8.2,.446,.485,3.2,3.9,.824,1.3,4.0,5.3,3.3,0.9,0.3,2.6,3.0,16.8,sharpsh01
412,Ben Sheppard,SG,22,IND,12,0,7.5,1.3,2.8,.441,0.6,1.8,.333,0.7,1.1,.615,.544,0.3,0.5,.667,0.2,0.5,0.7,0.7,0.3,0.0,0.1,0.9,3.4,sheppbe01
413,Pascal Siakam,PF,29,TOR,27,27,34.6,8.0,15.9,.507,1.0,3.7,.260,7.1,12.1,.582,.537,4.0,5.4,.740,1.6,5.1,6.7,4.9,0.9,0.2,2.3,2.1,21.0,siakapa01
414,Ben Simmons,PG,27,BRK,6,6,31.8,3.2,6.0,.528,0.0,0.0,,3.2,6.0,.528,.528,0.2,0.7,.250,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5,simmobe01
415,Anfernee Simons,SG,24,POR,8,8,33.6,8.8,19.8,.443,2.9,8.3,.348,5.9,11.5,.511,.516,5.0,5.4,.930,0.8,2.3,3.0,5.8,1.0,0.1,2.5,2.3,25.4,simonan01
416,Jericho Sims,C,25,NYK,14,5,7.4,0.7,1.1,.667,0.0,0.0,,0.7,1.1,.667,.667,0.2,0.4,.600,0.4,1.3,1.7,0.2,0.1,0.1,0.1,1.0,1.6,simsje01
417,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,.667,0.0,0.2,.000,0.4,0.4,1.000,.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8,slawsja01
418,Marcus Smart,PG,29,MEM,11,11,29.9,4.6,10.8,.429,1.6,5.5,.295,3.0,5.3,.569,.504,1.5,1.9,.810,0.3,2.2,2.5,5.0,2.0,0.4,3.4,3.2,12.5,smartma01
419,Dennis Smith Jr.,PG,26,BRK,13,0,17.6,2.6,6.2,.425,0.5,1.7,.318,2.1,4.5,.466,.469,0.9,1.1,.857,0.8,2.2,3.0,3.5,0.8,0.2,0.9,2.2,6.7,smithde03
420,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,.455,0.8,1.9,.412,0.9,1.8,.500,.561,0.2,0.2,1.000,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3,smithdr01
421,Ish Smith,PG,35,CHO,20,0,16.2,1.8,3.3,.530,0.1,0.2,.500,1.7,3.1,.532,.545,0.0,0.0,,0.3,1.2,1.4,2.8,0.4,0.1,1.3,1.0,3.6,smithis01
422,Jabari Smith Jr.,PF,20,HOU,25,25,30.4,4.9,10.2,.480,1.6,4.4,.369,3.3,5.8,.566,.561,1.7,2.1,.811,2.0,6.8,8.8,1.7,0.5,0.9,1.2,3.2,13.2,smithja05
423,Jalen Smith,C,23,IND,15,0,14.9,3.8,5.3,.722,1.1,1.5,.696,2.7,3.7,.732,.823,1.3,1.8,.741,1.5,3.9,5.4,0.8,0.3,0.3,1.0,2.1,10.0,smithja04
424,Nick Smith Jr.,SG,19,CHO,11,0,9.9,2.0,4.4,.458,0.9,2.2,.417,1.1,2.2,.500,.563,0.0,0.0,,0.3,0.4,0.6,0.3,0.1,0.3,0.4,0.8,4.9,smithni01
425,Jeremy Sochan,PG,20,SAS,26,25,29.1,4.0,9.8,.413,0.8,2.3,.333,3.3,7.5,.438,.453,1.5,2.0,.750,1.5,4.0,5.5,4.2,0.7,0.3,2.2,2.8,10.3,sochaje01
426,Jaden Springer,SG,21,PHI,16,0,10.6,1.4,3.6,.379,0.3,1.1,.294,1.1,2.6,.415,.422,0.8,1.0,.750,0.9,0.8,1.6,1.1,0.6,0.4,0.9,1.6,3.8,sprinja01
427,Lamar Stevens,PF,26,BOS,10,1,4.8,0.9,1.8,.500,0.2,0.6,.333,0.7,1.2,.583,.556,0.3,0.4,.750,0.5,0.5,1.0,0.3,0.4,0.3,0.4,1.0,2.3,stevela01
428,Isaiah Stewart,PF,22,DET,25,25,30.3,3.8,8.4,.455,1.3,3.6,.367,2.5,4.8,.521,.533,1.3,1.7,.786,1.8,5.0,6.8,1.4,0.3,0.6,1.7,2.6,10.2,stewais01
429,Julian Strawther,SF,21,DEN,26,0,14.0,2.2,5.6,.390,1.2,3.6,.344,1.0,2.0,.472,.500,0.5,0.7,.722,0.0,1.5,1.5,1.2,0.5,0.2,0.3,1.5,6.1,strawju01
430,Max Strus,SF,27,CLE,28,28,34.5,4.9,12.0,.411,2.9,7.9,.362,2.1,4.1,.504,.530,1.2,1.5,.805,0.8,4.6,5.4,3.8,0.9,0.5,1.6,3.0,13.9,strusma01
431,Jalen Suggs,SG,22,ORL,24,24,26.0,4.4,9.3,.471,1.7,4.5,.374,2.7,4.8,.560,.561,2.0,2.4,.828,0.6,2.9,3.5,2.5,1.7,0.6,1.9,2.7,12.4,suggsja01
432,Cole Swider,SF,24,MIA,3,0,9.7,2.0,4.7,.429,1.3,3.7,.364,0.7,1.0,.667,.571,0.0,0.0,,0.0,0.3,0.3,1.0,0.3,0.3,0.3,0.3,5.3,swideco01
433,Jae'Sean Tate,SF,28,HOU,23,0,17.8,2.0,4.3,.469,0.6,1.7,.350,1.4,2.5,.552,.541,0.4,0.6,.714,1.0,2.3,3.4,1.1,0.8,0.3,0.4,2.4,5.0,tateja01
434,Jayson Tatum,PF,25,BOS,26,26,36.8,9.3,19.5,.476,3.0,8.6,.345,6.3,11.0,.579,.552,5.2,6.6,.795,0.9,7.8,8.7,4.2,1.0,0.5,3.0,2.2,26.8,tatumja01
435,Terry Taylor,PF,24,CHI,7,0,1.9,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.6,taylote01
436,Garrett Temple,SG,37,TOR,6,0,3.2,0.7,0.8,.800,0.2,0.2,1.000,0.5,0.7,.750,.900,0.3,0.3,1.000,0.0,0.3,0.3,0.5,0.2,0.0,0.0,0.0,1.8,templga01
437,Dalen Terry,SG,21,CHI,13,0,7.6,0.5,1.5,.368,0.2,0.8,.182,0.4,0.6,.625,.421,0.2,0.3,.500,0.3,1.2,1.5,0.9,0.1,0.2,0.3,0.9,1.4,terryda01
438,Daniel Theis,C,31,TOT,17,0,16.6,2.6,5.8,.459,0.5,1.1,.444,2.2,4.7,.463,.500,1.0,1.4,.708,1.7,2.1,3.8,0.9,0.4,0.9,0.5,2.6,6.8,theisda01
438,Daniel Theis,C,31,IND,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,theisda01
438,Daniel Theis,C,31,LAC,16,0,17.2,2.8,5.9,.468,0.5,1.1,.471,2.3,4.8,.468,.511,1.1,1.5,.708,1.8,2.3,4.1,0.9,0.4,0.9,0.6,2.7,7.1,theisda01
439,Cam Thomas,SG,22,BRK,18,16,31.7,8.9,19.7,.455,2.5,6.4,.388,6.4,13.2,.487,.518,3.7,4.4,.838,0.3,2.9,3.2,2.4,0.6,0.5,1.8,2.1,24.1,thomaca02
440,Amen Thompson,SF,21,HOU,6,0,14.3,1.8,4.3,.423,0.3,2.0,.167,1.5,2.3,.643,.462,0.8,1.3,.625,0.5,2.5,3.0,1.2,0.3,0.2,1.0,1.8,4.8,thompam01
441,Ausar Thompson,SF,21,DET,27,23,27.0,4.2,9.0,.463,0.3,2.0,.151,3.9,7.1,.550,.480,1.3,1.9,.692,2.7,5.4,8.1,2.4,0.9,1.1,1.7,3.4,10.0,thompau01
442,Klay Thompson,SF,33,GSW,26,26,30.5,5.8,14.0,.419,3.2,8.4,.376,2.7,5.6,.483,.532,2.3,2.5,.908,0.6,3.3,3.9,2.2,0.5,0.5,1.7,2.1,17.1,thompkl01
443,Tristan Thompson,PF,32,CLE,23,0,10.7,1.4,2.0,.717,0.0,0.0,,1.4,2.0,.717,.717,0.4,1.1,.360,1.5,1.9,3.3,0.8,0.3,0.3,0.4,1.0,3.3,thomptr01
444,JT Thor,PF,21,CHO,23,1,15.7,1.3,3.4,.372,0.5,1.8,.293,0.7,1.6,.459,.449,0.1,0.3,.429,0.8,1.7,2.5,0.4,0.3,0.4,0.3,1.2,3.2,thorjt01
445,Matisse Thybulle,SF,26,POR,26,12,23.2,2.2,4.8,.460,1.6,3.8,.410,0.7,1.0,.654,.623,0.3,0.4,.800,0.4,1.6,2.0,1.0,1.7,0.8,0.7,1.1,6.3,thybuma01
446,Xavier Tillman Sr.,C,25,MEM,14,6,20.6,2.8,7.1,.390,0.6,2.2,.290,2.1,4.9,.435,.435,0.4,1.0,.357,1.4,3.4,4.7,1.6,1.4,0.7,0.9,1.8,6.6,tillmxa01
447,Jacob Toppin,SF,23,NYK,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,toppija01
448,Obi Toppin,PF,25,IND,26,25,24.0,4.8,8.0,.609,1.2,3.2,.369,3.7,4.7,.772,.684,1.2,1.5,.795,1.0,2.4,3.4,1.3,0.5,0.6,0.8,2.1,12.1,toppiob01
449,Juan Toscano-Anderson,SF,30,SAC,3,0,3.3,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.3,1.0,0.7,toscaju01
450,Karl-Anthony Towns,PF,28,MIN,26,26,33.3,8.1,15.5,.520,2.0,4.6,.425,6.1,10.9,.560,.583,4.1,4.6,.899,1.7,7.9,9.6,3.0,0.9,0.7,2.9,3.3,22.2,townska01
451,Gary Trent Jr.,SG,25,TOR,24,2,25.3,4.0,10.2,.393,1.9,5.4,.354,2.1,4.8,.439,.488,0.9,1.5,.629,0.2,2.0,2.3,1.6,0.6,0.1,0.6,1.0,10.8,trentga02
452,Oscar Tshiebwe,PF,24,IND,3,0,5.7,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,1.0,1.3,.750,0.7,1.0,1.7,0.7,0.0,0.0,0.0,0.3,3.7,tshieos01
453,P.J. Tucker,PF,38,TOT,15,3,15.9,0.4,1.3,.316,0.3,1.1,.313,0.1,0.2,.333,.447,0.2,0.2,1.000,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3,tuckepj01
453,P.J. Tucker,PF,38,PHI,3,3,22.0,0.7,1.7,.400,0.7,1.7,.400,0.0,0.0,,.600,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0,tuckepj01
453,P.J. Tucker,PF,38,LAC,12,0,14.4,0.3,1.2,.286,0.3,0.9,.273,0.1,0.3,.333,.393,0.3,0.3,1.000,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2,tuckepj01
454,Myles Turner,C,27,IND,25,25,27.1,6.1,12.1,.503,1.4,4.2,.327,4.7,7.9,.596,.560,3.4,4.3,.787,1.9,5.8,7.7,1.2,0.6,2.0,1.4,3.0,16.9,turnemy01
455,Hunter Tyson,PF,23,DEN,8,0,2.5,0.1,0.5,.250,0.0,0.4,.000,0.1,0.1,1.000,.250,0.0,0.0,,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.6,0.3,tysonhu01
456,Stanley Umude,SG,24,DET,15,0,10.3,1.3,2.9,.455,0.9,1.8,.519,0.4,1.1,.353,.614,1.4,1.5,.913,0.2,1.7,1.9,0.5,0.3,0.3,0.7,1.6,5.0,umudest01
457,Jonas Valančiūnas,C,31,NOP,28,28,27.7,5.8,10.1,.574,0.8,2.0,.382,5.0,8.1,.621,.612,2.6,3.2,.800,2.5,7.4,9.9,2.4,0.5,1.3,1.4,3.3,14.9,valanjo01
458,Jarred Vanderbilt,PF,24,LAL,7,0,14.1,0.4,1.9,.231,0.0,1.0,.000,0.4,0.9,.500,.231,0.1,0.3,.500,1.0,2.6,3.6,0.9,0.3,0.3,0.3,1.7,1.0,vandeja01
459,Fred VanVleet,PG,29,HOU,24,24,38.5,5.8,14.6,.397,3.0,7.8,.388,2.8,6.8,.407,.501,3.1,3.5,.881,0.3,4.0,4.4,9.0,1.1,0.6,1.7,2.0,17.7,vanvlfr01
460,Devin Vassell,SG,23,SAS,21,15,29.7,6.6,14.2,.466,2.6,7.1,.369,4.0,7.1,.564,.559,2.3,3.0,.790,0.4,3.0,3.4,2.8,0.9,0.1,1.4,1.0,18.2,vassede01
461,Sasha Vezenkov,PF,28,SAC,23,0,14.0,2.2,5.1,.436,1.2,3.2,.378,1.0,1.9,.535,.556,0.3,0.3,.750,0.8,2.1,2.9,0.5,0.5,0.3,0.3,1.1,5.9,vezenal01
462,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,vincega01
463,Nikola Vučević,C,33,CHI,29,29,34.3,7.0,15.5,.449,1.1,3.8,.294,5.9,11.8,.499,.484,1.6,1.8,.865,2.9,7.6,10.5,3.4,0.8,0.8,1.7,2.7,16.6,vucevni01
464,Dean Wade,PF,27,CLE,21,14,21.0,1.6,4.0,.410,1.3,3.5,.365,0.3,0.4,.778,.572,0.5,0.7,.786,1.3,3.1,4.4,1.0,0.9,0.3,0.5,2.3,5.0,wadede01
465,Franz Wagner,SF,22,ORL,26,26,33.3,7.3,16.3,.446,1.4,4.9,.283,5.9,11.4,.515,.488,3.8,4.6,.840,1.1,4.7,5.8,3.9,1.1,0.3,1.7,2.1,19.8,wagnefr01
466,Moritz Wagner,C,26,ORL,26,0,18.8,4.5,7.4,.615,0.5,1.6,.341,4.0,5.8,.689,.651,2.0,2.6,.776,1.5,2.6,4.1,1.1,0.5,0.3,1.5,2.5,11.6,wagnemo01
467,Ish Wainright,SF,29,POR,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,wainris01
468,Jabari Walker,SF,21,POR,26,0,17.6,2.7,5.9,.464,0.5,1.9,.265,2.2,4.0,.558,.507,1.3,1.7,.778,1.6,3.3,4.8,0.7,0.7,0.4,0.8,2.2,7.3,walkeja01
469,Jarace Walker,PF,20,IND,8,0,10.5,1.5,3.5,.429,0.4,1.4,.273,1.1,2.1,.529,.482,0.4,0.4,1.000,0.1,1.4,1.5,1.4,0.5,0.4,0.4,1.4,3.8,walkeja02
470,Lonnie Walker IV,SG,25,BRK,17,0,21.3,5.2,10.6,.489,2.6,5.6,.463,2.6,5.0,.518,.611,1.7,2.2,.763,0.2,2.5,2.6,1.6,0.6,0.4,1.5,0.9,14.6,walkelo01
471,Cason Wallace,SG,20,OKC,25,5,21.8,2.8,4.8,.579,1.1,2.2,.500,1.7,2.7,.642,.690,0.5,0.6,.800,0.5,1.8,2.2,1.4,0.6,0.4,0.5,1.7,7.2,wallaca01
472,P.J. Washington,PF,25,CHO,23,13,30.0,5.0,11.8,.424,2.0,6.0,.326,3.0,5.8,.526,.507,1.4,1.9,.744,1.2,4.0,5.1,2.4,0.8,0.8,1.4,2.8,13.3,washipj01
473,TyTy Washington Jr.,PG,22,MIL,2,0,3.0,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,1.5,washity02
474,Yuta Watanabe,SF,29,PHO,19,0,17.3,1.5,4.2,.350,1.2,3.5,.348,0.3,0.7,.357,.494,0.5,0.7,.692,0.5,1.5,2.1,0.5,0.4,0.4,0.7,1.5,4.6,watanyu01
475,Lindy Waters III,SG,26,OKC,9,0,7.8,1.0,2.4,.409,0.9,2.3,.381,0.1,0.1,1.000,.591,0.0,0.0,,0.1,0.6,0.7,0.7,0.0,0.1,0.0,0.7,2.9,waterli01
476,Trendon Watford,PF,23,BRK,20,0,14.0,2.7,5.1,.525,0.3,1.0,.316,2.4,4.1,.573,.554,0.8,0.9,.889,1.0,2.5,3.5,1.9,0.5,0.4,1.1,1.9,6.4,watfotr01
477,Peyton Watson,SF,21,DEN,27,0,16.7,2.3,4.5,.516,0.4,1.2,.333,1.9,3.3,.584,.561,0.9,1.3,.639,0.6,1.9,2.5,1.1,0.6,0.9,0.6,1.6,5.9,watsope01
478,Victor Wembanyama,PF,20,SAS,24,24,30.5,7.1,16.3,.436,1.4,5.0,.281,5.7,11.2,.506,.479,3.4,4.3,.786,2.4,8.5,11.0,2.7,1.3,3.0,3.4,2.6,19.0,wembavi01
479,Blake Wesley,SG,20,SAS,6,0,4.3,0.5,1.3,.375,0.0,0.2,.000,0.5,1.2,.429,.375,0.2,0.3,.500,0.2,0.2,0.3,1.0,0.0,0.2,0.2,0.5,1.2,weslebl01
480,Russell Westbrook,PG,35,LAC,27,10,24.1,4.5,9.9,.459,0.6,2.3,.270,3.9,7.5,.517,.491,1.5,2.4,.606,1.6,4.7,6.2,4.7,1.1,0.5,2.3,2.1,11.1,westbru01
481,Coby White,PG,23,CHI,29,29,34.7,6.1,13.7,.449,3.2,7.4,.426,3.0,6.2,.478,.566,2.0,2.4,.831,0.5,3.6,4.1,4.9,0.8,0.2,1.8,2.6,17.5,whiteco01
482,Derrick White,SG,29,BOS,24,24,32.6,5.5,11.1,.492,2.8,6.5,.429,2.7,4.6,.582,.618,2.8,3.2,.868,0.8,3.2,4.0,5.1,1.3,1.2,1.7,2.1,16.5,whitede01
483,Cam Whitmore,SF,19,HOU,5,0,6.4,1.4,3.0,.467,0.2,1.0,.200,1.2,2.0,.600,.500,1.0,2.0,.500,0.2,1.4,1.6,0.4,0.2,0.0,0.4,0.4,4.0,whitmca01
484,Aaron Wiggins,SG,25,OKC,23,0,11.8,1.9,3.2,.603,0.5,1.0,.478,1.4,2.2,.660,.678,0.7,1.0,.739,0.6,1.4,2.0,0.7,0.4,0.0,0.5,1.0,5.0,wiggiaa01
485,Andrew Wiggins,SF,28,GSW,25,21,26.6,4.7,11.2,.420,1.0,3.2,.300,3.8,8.0,.468,.463,1.9,2.9,.667,2.0,2.6,4.6,1.1,0.3,0.4,1.7,2.4,12.3,wiggian01
486,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,wiggili01
487,Grant Williams,PF,25,DAL,24,24,29.5,3.3,7.8,.425,2.1,5.4,.395,1.2,2.4,.491,.562,0.9,1.3,.656,1.3,2.6,3.9,1.7,0.3,0.5,0.8,2.9,9.6,willigr01
488,Jalen Williams,PF,22,OKC,22,22,32.2,6.5,13.0,.495,1.0,2.8,.355,5.5,10.2,.533,.533,3.2,3.7,.877,0.4,3.6,4.0,3.7,0.9,0.4,1.7,2.8,17.1,willija06
489,Jaylin Williams,C,21,OKC,20,0,13.1,1.5,3.7,.392,0.9,2.3,.370,0.6,1.4,.429,.507,0.7,0.7,.929,0.6,2.9,3.5,1.4,0.4,0.1,0.5,1.8,4.4,willija07
490,Jeenathan Williams,SG,24,HOU,4,0,5.5,1.5,2.8,.545,0.0,0.5,.000,1.5,2.3,.667,.545,0.3,0.5,.500,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,3.3,willije02
491,Kenrich Williams,PF,29,OKC,15,0,14.6,1.9,3.9,.492,0.8,1.9,.429,1.1,2.1,.548,.593,0.2,0.7,.300,0.7,2.1,2.8,1.5,0.3,0.1,0.3,1.8,4.9,willike04
492,Mark Williams,C,22,CHO,19,19,26.7,5.2,7.9,.649,0.0,0.0,,5.2,7.9,.649,.649,2.4,3.4,.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,willima07
493,Patrick Williams,PF,22,CHI,29,19,27.2,3.6,8.0,.442,1.3,3.3,.411,2.2,4.8,.464,.526,1.2,1.7,.735,1.2,3.0,4.2,1.4,0.9,0.9,1.1,1.8,9.7,willipa01
494,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,williro04
495,Vince Williams Jr.,SG,23,MEM,18,4,18.6,1.7,3.9,.437,1.2,3.1,.393,0.5,0.8,.600,.592,1.1,1.3,.826,0.8,3.6,4.3,1.3,0.3,0.6,0.7,2.2,5.7,willivi01
496,Ziaire Williams,SF,22,MEM,24,8,20.0,2.7,7.0,.389,1.1,3.5,.310,1.6,3.5,.470,.467,1.2,1.3,.906,0.6,3.4,4.0,1.4,0.4,0.2,1.3,1.8,7.7,willizi02
497,Zion Williamson,PF,23,NOP,23,23,30.5,8.7,15.1,.578,0.1,0.3,.286,8.7,14.8,.584,.580,4.5,6.9,.652,2.0,3.8,5.8,4.6,1.0,0.3,2.5,2.6,22.0,willizi01
498,Jalen Wilson,PF,23,BRK,7,0,7.4,0.9,1.3,.667,0.3,0.4,.667,0.6,0.9,.667,.778,0.6,0.6,1.000,0.4,0.7,1.1,0.6,0.1,0.1,0.3,0.4,2.6,wilsoja03
499,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,windldy01
500,James Wiseman,C,22,DET,17,0,14.2,3.1,4.4,.716,0.0,0.1,.000,3.1,4.3,.726,.716,0.9,1.4,.625,1.4,2.8,4.2,0.8,0.2,0.6,0.9,2.3,7.1,wisemja01
501,Christian Wood,PF,28,LAL,25,1,19.4,2.5,5.4,.463,0.7,2.4,.279,1.8,3.0,.613,.526,1.4,2.2,.618,1.0,4.8,5.7,0.9,0.2,0.6,1.2,1.6,7.1,woodch01
502,Delon Wright,PG,31,WAS,8,0,17.6,1.4,3.8,.367,0.5,1.4,.364,0.9,2.4,.368,.433,1.8,2.0,.875,0.4,2.1,2.5,4.4,1.6,0.1,0.5,0.8,5.0,wrighde01
503,Thaddeus Young,PF,35,TOR,4,0,3.3,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.5,.000,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.0,1.0,youngth01
504,Trae Young,PG,25,ATL,25,25,36.0,8.8,20.2,.434,3.5,9.0,.387,5.3,11.2,.471,.520,7.2,8.3,.870,0.6,2.4,3.0,11.1,1.3,0.2,4.2,1.8,28.2,youngtr01
505,Omer Yurtseven,C,25,UTA,18,6,12.6,1.9,3.8,.515,0.2,0.7,.231,1.8,3.1,.582,.537,0.3,0.4,.750,1.7,3.2,4.8,0.7,0.2,0.6,1.1,1.7,4.4,yurtsom01
506,Cody Zeller,C,31,NOP,22,0,10.0,0.6,1.8,.333,0.0,0.0,.000,0.6,1.7,.342,.333,0.7,1.2,.577,1.2,1.9,3.1,1.2,0.2,0.1,0.4,1.3,1.9,zelleco01
507,Ivica Zubac,C,26,LAC,27,27,26.8,5.2,8.3,.627,0.0,0.0,,5.2,8.3,.627,.627,1.7,2.8,.618,3.1,6.2,9.3,1.0,0.2,1.5,1.1,2.8,12.2,zubaciv01
