,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
195,Justin Holiday,SG,34,DEN,16,260,16%,82%,2%,,,11.2,7.7,5,0,14,0,0,1,47,0,0,holidju01
196,Richaun Holmes,C,30,DAL,14,140,,,,2%,98%,-3.6,-4.9,4,1,9,2,5,0,17,1,3,holmeri01
197,Chet Holmgren,C,21,OKC,25,743,,,,,100%,8.7,3.0,12,22,45,8,44,4,141,11,15,holmgch01
198,Jalen Hood-Schifino,SG,20,LAL,5,52,,84%,16%,,,-35.9,-36.9,3,1,4,0,3,0,10,0,3,hoodsja01
199,Al Horford,C,37,BOS,23,613,,,,43%,57%,9.3,0.0,8,7,24,4,3,0,167,2,4,horfoal01
200,Talen Horton-Tucker,PG,23,UTA,28,641,68%,21%,11%,,,-0.2,13.2,28,14,29,6,29,2,313,8,14,hortota01
201,Danuel House Jr.,SF,30,PHI,16,187,,22%,60%,19%,,5.3,-6.6,6,3,9,0,8,0,32,2,2,houseda01
202,Caleb Houstan,SF,21,ORL,17,173,1%,32%,58%,9%,,-3.9,-8.0,1,1,7,0,2,0,18,1,0,houstca01
203,Jett Howard,SF,20,ORL,8,34,,,10%,90%,,5.4,2.5,1,1,0,0,1,0,8,0,0,howarje01
204,Kevin Huerter,SG,25,SAC,25,637,,77%,22%,1%,,0.8,2.1,10,2,27,2,9,2,162,2,4,huertke01
205,Jay Huff,C,25,DEN,2,2,,,,,100%,-83.3,-88.4,0,0,0,0,0,0,0,0,0,huffja01
206,De'Andre Hunter,SF,26,ATL,24,727,,,37%,63%,,-2.8,-7.0,6,17,31,7,35,14,77,12,11,huntede01
207,Bones Hyland,PG,23,LAC,13,210,100%,,,,,2.0,-5.5,9,3,7,3,4,0,58,0,7,hylanbo01
208,Joe Ingles,SF,36,ORL,24,437,,22%,76%,3%,,9.1,9.5,11,5,15,4,4,0,179,1,5,inglejo01
209,Brandon Ingram,SF,26,NOP,25,839,2%,58%,36%,5%,,2.4,-0.2,26,18,21,13,56,1,325,13,18,ingrabr01
210,Kyrie Irving,SG,31,DAL,17,541,17%,75%,8%,,,2.6,3.0,12,5,15,2,26,1,213,11,11,irvinky01
211,Jonathan Isaac,PF,26,ORL,19,259,,,4%,96%,,9.0,7.6,4,2,16,1,14,4,15,5,4,isaacjo01
212,Jaden Ivey,SG,21,DET,23,554,2%,79%,19%,,,-12.1,-1.1,13,17,31,6,38,4,143,13,25,iveyja01
213,Andre Jackson Jr.,SG,22,MIL,21,221,8%,60%,31%,1%,,-0.4,-7.5,6,2,15,2,1,0,51,0,1,jacksan01
214,Gregory Jackson II,PF,19,MEM,4,19,,,,61%,39%,17.6,24.7,1,0,2,0,0,0,0,0,1,jacksgg01
215,Isaiah Jackson,C,22,IND,18,266,,,,9%,91%,-2.1,-4.3,3,1,32,4,16,0,41,4,6,jacksis01
216,Jaren Jackson Jr.,C,24,MEM,26,818,,,,,100%,-7.7,-2.8,9,24,43,14,78,12,111,20,45,jacksja02
217,Reggie Jackson,PG,33,DEN,29,739,100%,,,,,3.5,-3.2,28,7,28,7,17,4,308,6,15,jacksre01
218,Trayce Jackson-Davis,PF,23,GSW,16,161,,,,28%,72%,15.6,17.3,3,1,17,4,14,0,24,3,4,jackstr02
219,LeBron James,PF,39,LAL,26,886,,,1%,83%,16%,3.4,11.2,61,19,8,6,78,7,433,21,18,jamesle01
220,Jaime Jaquez Jr.,SF,22,MIA,28,791,1%,33%,61%,5%,,0.0,-2.2,21,13,36,4,26,6,177,7,23,jaqueja01
221,DaQuan Jeffries,SG,26,NYK,10,30,,,68%,32%,,-6.9,-10.7,1,0,2,0,0,0,5,0,1,jeffrda01
222,Ty Jerome,SG,26,CLE,2,15,38%,62%,,,,-38.0,-39.3,1,0,2,0,0,0,7,0,0,jeromty01
223,Isaiah Joe,SG,24,OKC,25,509,14%,81%,6%,,,16.6,15.8,5,5,17,1,11,13,67,3,4,joeis01
224,Cameron Johnson,PF,27,BRK,20,577,,1%,10%,77%,13%,1.7,2.3,17,3,15,2,12,1,138,2,13,johnsca02
225,Jalen Johnson,SF,22,ATL,15,449,,,,98%,2%,6.0,8.8,18,3,19,3,13,3,83,3,9,johnsja05
226,James Johnson,PF,36,IND,3,16,,,,59%,41%,32.3,31.4,0,0,0,1,0,0,9,0,0,johnsja01
227,Keldon Johnson,SF,24,SAS,25,827,,19%,61%,21%,,-11.1,1.2,24,16,32,3,47,5,240,14,19,johnske04
228,Keyontae Johnson,SF,23,OKC,1,6,,100%,,,,-20.0,-27.7,0,0,0,0,0,0,0,0,0,johnske08
229,Nikola Jokić,C,28,DEN,28,938,,,,,100%,10.6,17.4,37,27,30,7,75,3,607,26,26,jokicni01
230,Colby Jones,SG,21,SAC,11,75,2%,78%,20%,,,-14.4,-15.0,2,1,7,0,2,0,5,1,1,jonesco02
231,Damian Jones,C,28,CLE,11,54,,,,,100%,-39.5,-41.9,1,1,2,2,1,0,8,0,2,jonesda03
232,Derrick Jones Jr.,SF,26,DAL,26,642,,,55%,44%,1%,0.6,-0.5,7,13,20,1,24,10,71,10,6,jonesde02
233,Herbert Jones,SF,25,NOP,25,751,,,53%,45%,2%,3.4,1.9,15,9,46,4,31,10,157,4,14,joneshe01
234,Tre Jones,PG,24,SAS,22,515,100%,,,,,-5.6,10.0,21,4,10,3,9,19,277,1,6,jonestr01
235,Tyus Jones,PG,27,WAS,26,711,100%,,,,,-14.5,-11.2,15,3,8,1,7,5,345,2,9,jonesty01
236,DeAndre Jordan,C,35,DEN,11,153,,,,,100%,-9.1,-15.7,4,2,11,4,13,0,27,3,6,jordade01
237,Cory Joseph,PG,32,GSW,12,127,80%,20%,,,,6.4,6.6,3,0,6,0,1,1,62,0,2,josepco01
238,Nikola Jović,PF,20,MIA,4,48,,,,62%,38%,7.1,6.4,3,1,4,0,1,0,23,0,2,jovicni01
239,Johnny Juzang,SG,22,UTA,1,4,,,,100%,,-12.5,-5.2,0,0,0,0,0,0,2,0,0,juzanjo01
240,Luke Kennard,SG,27,MEM,8,172,6%,88%,5%,,,-9.5,-3.2,3,2,3,0,1,1,39,0,3,kennalu01
241,Walker Kessler,C,22,UTA,20,507,,,,,100%,-8.4,-1.7,7,7,21,9,16,2,49,6,10,kesslwa01
242,Braxton Key,SF,26,DEN,6,15,,,37%,56%,7%,-26.0,-31.3,0,0,2,0,1,0,11,0,0,keybr01
243,Corey Kispert,SF,24,WAS,25,576,,9%,81%,10%,,-11.6,-3.5,8,9,25,4,26,1,91,7,14,kispeco01
244,Maxi Kleber,C,32,DAL,5,90,,,,11%,89%,-2.1,-3.2,2,0,5,2,1,2,27,0,1,klebima01
245,Kevin Knox,SF,24,DET,10,150,,10%,52%,38%,,-7.0,5.1,6,2,9,1,3,0,12,1,3,knoxke01
246,John Konchar,SF,27,MEM,21,374,4%,41%,49%,6%,,-8.8,-2.9,5,5,17,0,3,4,72,0,4,konchjo01
247,Furkan Korkmaz,SG,26,PHI,19,130,5%,63%,30%,3%,,12.8,2.1,3,2,7,1,4,1,23,3,1,korkmfu01
248,Luke Kornet,C,28,BOS,17,220,,,,,100%,2.6,-7.9,3,1,11,2,7,2,26,2,3,kornelu01
249,Jonathan Kuminga,PF,21,GSW,26,548,,,3%,88%,9%,5.1,8.0,7,8,23,9,45,4,65,8,19,kuminjo01
250,Kyle Kuzma,PF,28,WAS,26,808,,,,92%,8%,-13.8,-11.8,26,14,27,10,52,5,257,15,20,kuzmaky01
251,Jock Landale,C,28,HOU,16,136,,,,5%,95%,6.3,3.4,2,2,8,2,2,0,21,0,5,landajo01
252,Jake LaRavia,PF,22,MEM,8,99,,,16%,84%,,-14.7,-8.6,3,0,8,1,1,0,12,0,1,laravja01
253,Zach LaVine,SG,28,CHI,18,635,,50%,49%,1%,,-7.8,-9.1,13,16,16,4,34,1,148,8,16,lavinza01
254,A.J. Lawson,SG,23,DAL,10,68,,37%,59%,4%,,4.3,3.7,1,1,3,0,3,0,9,0,4,lawsoaj01
255,Saben Lee,PG,24,PHO,4,11,100%,,,,,-8.7,-9.4,0,0,1,0,1,0,6,0,0,leesa01
256,Alex Len,C,30,SAC,6,41,,,,,100%,18.2,19.0,1,0,2,0,4,0,12,1,1,lenal01
257,Kawhi Leonard,SF,32,LAC,27,932,,10%,62%,27%,2%,10.2,12.6,20,12,14,5,53,7,233,19,10,leonaka01
258,Caris LeVert,SG,29,CLE,21,623,8%,70%,22%,,,0.6,-0.3,17,7,17,3,32,7,186,4,17,leverca01
259,Kira Lewis Jr.,PG,22,NOP,13,131,95%,5%,,,,-4.0,-7.2,4,0,4,1,6,0,45,3,4,lewiski01
260,Maxwell Lewis,SF,21,LAL,12,53,,17%,78%,5%,,-32.6,-33.4,1,3,1,0,0,0,6,0,1,lewisma05
261,E.J. Liddell,PF,23,NOP,3,9,,,,86%,14%,-30.8,-33.5,1,0,1,0,0,0,0,0,0,liddeej01
262,Damian Lillard,PG,33,MIL,25,884,100%,,,,,7.7,6.0,47,12,16,3,71,5,419,16,34,lillada01
263,Nassir Little,PF,23,PHO,20,324,,1%,56%,44%,,-5.4,-8.1,5,3,17,0,5,1,41,1,4,littlna01
264,Dereck Lively II,C,19,DAL,23,582,,,,,100%,6.3,10.0,10,3,42,10,16,0,66,5,10,livelde01
265,Isaiah Livers,PF,25,DET,13,266,,,14%,82%,4%,-22.1,-13.4,4,1,16,1,4,0,36,0,4,liveris01
266,Chris Livingston,SF,20,MIL,5,21,,13%,27%,46%,14%,19.9,14.3,0,1,2,0,0,0,2,0,1,livinch01
267,Kenneth Lofton Jr.,PF,21,MEM,15,99,,,,57%,43%,2.9,10.5,1,2,7,3,9,1,36,3,6,loftoke01
268,Kevon Looney,C,27,GSW,27,588,,,,11%,89%,-4.0,-8.0,6,8,36,7,17,0,182,5,12,looneke01
269,Brook Lopez,C,35,MIL,27,829,,,,,100%,4.9,-2.6,6,6,47,11,28,2,93,9,6,lopezbr01
270,Robin Lopez,C,35,MIL,7,21,,,,,100%,-13.8,-19.9,0,1,3,0,1,0,5,0,0,lopezro01
271,Kevin Love,PF,35,MIA,21,404,,,,30%,70%,9.7,12.5,9,1,21,1,12,9,117,2,3,loveke01
272,Kyle Lowry,PG,37,MIA,26,764,100%,,,,,1.9,2.3,23,6,38,3,13,15,258,2,9,lowryky01
273,Seth Lundy,SF,23,ATL,2,10,,2%,41%,57%,,-3.8,-4.1,0,0,1,0,0,0,0,0,0,lundyse01
274,Trey Lyles,PF,28,SAC,13,260,,,,72%,28%,2.3,3.1,5,1,16,2,8,2,51,2,3,lylestr01
275,Théo Maledon,PG,22,CHO,13,200,94%,6%,,,,-14.1,-3.7,10,3,11,0,6,5,66,2,5,maledth01
276,Sandro Mamukelashvili,C,24,SAS,11,84,,,,19%,81%,-7.9,3.9,3,1,5,1,3,0,31,0,2,mamuksa01
277,Terance Mann,SG,27,LAC,21,559,50%,35%,15%,,,6.4,-0.4,8,6,17,0,10,2,102,2,6,mannte01
278,Tre Mann,PG,22,OKC,9,92,100%,,,,,-7.3,-16.1,5,2,1,0,0,1,31,0,0,manntr01
279,Boban Marjanović,C,35,HOU,3,20,,,,,100%,-12.5,-16.1,0,0,2,0,1,0,8,1,0,marjabo01
280,Lauri Markkanen,PF,26,UTA,19,629,,,2%,69%,29%,-3.6,6.9,8,8,23,4,35,3,63,4,10,markkla01
281,Naji Marshall,SF,26,NOP,19,380,,10%,65%,24%,,8.4,8.3,15,6,13,1,16,3,110,2,6,marshna01
282,Caleb Martin,SF,28,MIA,18,485,8%,79%,12%,1%,,1.9,1.6,16,5,19,1,16,8,106,4,18,martica02
283,KJ Martin,SF,23,TOT,16,112,,21%,75%,4%,,6.9,-2.8,0,2,8,1,4,1,23,0,6,martike04
283,KJ Martin,SF,23,LAC,2,31,,28%,72%,,,-7.7,-14.7,0,1,1,1,1,0,3,0,1,martike04
283,KJ Martin,SF,23,PHI,14,81,,18%,77%,5%,,12.6,1.7,0,1,7,0,3,1,20,0,5,martike04
284,Garrison Mathews,SG,27,ATL,15,164,,83%,15%,2%,,-10.4,-12.2,2,2,13,0,1,10,6,1,1,mathega01
285,Bennedict Mathurin,SF,21,IND,26,664,,3%,50%,47%,,-1.8,-6.5,13,11,24,6,44,4,137,11,39,mathube01
286,Wesley Matthews,SG,37,ATL,16,192,,1%,90%,9%,,-10.1,-12.2,1,2,10,2,6,3,27,0,2,matthwe02
287,Tyrese Maxey,PG,23,PHI,26,962,75%,25%,,,,11.9,4.0,19,13,20,2,65,4,405,22,36,maxeyty01
288,Skylar Mays,PG,26,POR,15,290,94%,6%,,,,-11.8,-6.6,10,4,10,0,5,0,163,2,6,mayssk01
289,Miles McBride,PG,23,NYK,17,81,99%,1%,,,,-11.0,-15.6,0,0,3,0,1,2,19,0,1,mcbrimi01
290,CJ McCollum,PG,32,NOP,15,497,92%,8%,,,,3.6,1.8,8,6,21,2,20,1,183,5,9,mccolcj01
291,T.J. McConnell,PG,31,IND,20,317,100%,,,,,-0.8,-2.7,10,7,12,2,11,13,244,4,8,mccontj01
292,Jaden McDaniels,SF,23,MIN,16,397,,9%,90%,1%,,8.2,1.8,8,5,25,0,6,5,43,6,3,mcdanja02
293,Jalen McDaniels,SF,26,TOR,16,141,,4%,42%,52%,3%,-8.4,-7.1,1,4,9,1,1,0,21,0,2,mcdanja01
294,Doug McDermott,SF,32,SAS,24,395,,16%,58%,26%,,-15.0,-5.2,8,2,14,3,5,0,98,0,5,mcderdo01
295,JaVale McGee,C,36,SAC,23,200,,,,,100%,0.9,1.3,9,5,10,8,13,0,24,4,4,mcgeeja01
296,Bryce McGowens,SG,21,CHO,21,367,,61%,38%,1%,,-13.0,-2.9,6,1,20,3,14,5,40,2,2,mcgowbr01
297,Jordan McLaughlin,PG,27,MIN,9,35,100%,,,,,6.8,-0.2,0,0,1,0,0,1,17,0,0,mclaujo01
298,De'Anthony Melton,SG,25,PHI,27,777,6%,91%,3%,,,10.4,-1.3,16,8,27,3,24,1,210,6,13,meltode01
299,Nathan Mensah,C,25,CHO,3,49,,,,,100%,-51.2,-41.9,0,0,4,3,1,2,3,0,0,mensana01
300,Sam Merrill,SG,27,CLE,15,164,16%,78%,6%,,,-4.7,-6.3,1,1,7,2,1,7,32,0,2,merrisa01
301,Chimezie Metu,C,26,PHO,17,182,,,,71%,29%,-1.5,-2.5,3,2,9,1,6,1,15,0,2,metuch01
302,Vasilije Micić,PG,30,OKC,10,122,60%,40%,,,,10.2,2.9,6,1,3,0,3,0,64,0,3,micicva01
303,Khris Middleton,SF,32,MIL,22,508,,3%,88%,9%,,10.8,8.2,22,15,24,3,20,3,212,5,9,middlkh01
304,Brandon Miller,SF,21,CHO,24,774,,,53%,47%,,-9.3,4.2,19,7,44,6,23,16,132,5,17,millebr02
305,Jordan Miller,SF,24,LAC,3,12,33%,25%,,42%,,-22.6,-29.5,1,0,2,0,0,0,0,0,0,millejo02
306,Leonard Miller,SF,20,MIN,3,6,,,,31%,69%,-38.5,-45.7,0,0,1,0,0,0,2,0,1,millele01
307,Dariq Whitehead,SF,19,BRK,1,3,,100%,,,,-120.0,-120.6,0,0,0,0,1,0,0,0,0,whiteda01
308,Patty Mills,PG,35,ATL,4,35,92%,8%,,,,-5.4,-5.9,1,1,2,0,0,0,12,0,0,millspa02
309,Shake Milton,SG,27,MIN,25,383,24%,71%,6%,,,-2.0,-13.0,16,5,22,2,19,1,88,4,11,miltosh01
310,Justin Minaya,SF,24,POR,6,38,,25%,75%,,,-13.3,-6.9,1,0,1,0,0,1,0,0,0,minayju01
311,Josh Minott,SF,21,MIN,11,27,,,7%,59%,34%,8.6,1.6,0,0,2,0,4,0,2,3,0,minotjo01
312,Davion Mitchell,PG,25,SAC,20,282,96%,4%,,,,-17.3,-21.8,8,3,13,0,5,7,107,1,2,mitchda01
313,Donovan Mitchell,SG,27,CLE,22,803,51%,49%,,,,4.0,7.9,28,25,22,3,51,1,304,12,26,mitchdo01
314,Evan Mobley,PF,22,CLE,21,705,,,,43%,57%,3.0,4.7,14,15,39,7,34,3,144,9,19,mobleev01
315,Isaiah Mobley,PF,24,CLE,2,10,,,,100%,,-31.1,-32.1,0,0,1,1,0,0,9,0,0,mobleis01
316,Malik Monk,SG,25,SAC,26,656,28%,72%,,,,0.6,1.9,40,12,21,1,27,5,319,3,19,monkma01
317,Moses Moody,SG,21,GSW,27,508,,30%,69%,1%,,-1.6,-3.3,9,5,16,2,21,7,61,6,11,moodymo01
318,Xavier Moon,SG,29,LAC,2,12,43%,57%,,,,-54.2,-61.3,1,0,1,0,0,0,8,0,0,moonxa01
319,Wendell Moore Jr.,SG,22,MIN,6,14,13%,24%,39%,24%,,-12.2,-19.4,1,0,1,0,0,0,2,0,0,moorewe01
320,Ja Morant,PG,24,MEM,1,35,100%,,,,,10.1,17.4,4,1,1,0,5,0,19,2,1,moranja01
321,Marcus Morris,PF,34,PHI,19,261,,,46%,52%,2%,5.8,-6.4,1,2,15,3,2,0,28,1,1,morrima03
322,Markieff Morris,PF,34,DAL,11,114,,,,51%,49%,-13.5,-15.7,3,2,4,1,0,0,25,0,2,morrima02
323,Trey Murphy III,SF,23,NOP,8,202,,2%,37%,60%,2%,17.7,17.9,2,1,3,0,12,2,37,4,1,murphtr02
324,Dejounte Murray,SG,27,ATL,27,927,37%,63%,,,,-1.4,-5.8,37,16,15,1,31,0,352,4,25,murrade01
325,Jamal Murray,PG,26,DEN,15,435,79%,21%,,,,8.7,5.4,20,7,19,1,11,1,194,3,10,murraja01
326,Keegan Murray,SF,23,SAC,22,705,,1%,85%,14%,,2.0,5.0,11,5,28,2,20,2,97,5,16,murrake02
327,Kris Murray,SF,23,POR,13,144,,5%,48%,44%,4%,3.9,11.9,0,1,4,0,3,1,16,1,4,murrakr01
328,Mike Muscala,C,32,WAS,14,180,,,,,100%,-15.6,-6.9,5,3,11,1,6,1,31,0,2,muscami01
329,Svi Mykhailiuk,SF,26,BOS,11,83,,38%,56%,7%,,10.5,1.3,4,0,5,0,0,0,10,0,1,mykhasv01
330,Larry Nance Jr.,C,31,NOP,14,211,,,,8%,92%,-9.9,-14.8,6,3,8,3,1,5,24,0,2,nancela02
331,Andrew Nembhard,PG,24,IND,17,308,55%,45%,1%,,,5.5,5.6,13,5,15,2,5,2,167,1,2,nembhan01
332,Aaron Nesmith,SF,24,IND,24,589,,7%,57%,37%,,-1.5,-5.2,6,4,43,4,17,9,59,6,12,nesmiaa01
333,Georges Niang,PF,30,CLE,28,625,,,21%,77%,2%,-2.5,-6.1,12,5,35,1,7,2,87,1,4,niangge01
334,Daishen Nix,PG,21,MIN,6,21,73%,27%,,,,36.0,29.6,0,0,0,0,0,0,0,0,1,nixda01
335,Zeke Nnaji,PF,23,DEN,23,247,,,,7%,93%,-12.8,-21.5,3,4,18,6,13,0,33,5,11,nnajize01
336,Jaylen Nowell,SG,24,MEM,9,156,87%,13%,,,,-1.6,5.8,4,0,7,0,2,1,44,1,0,nowelja01
337,Markquis Nowell,SG,24,TOR,1,4,100%,,,,,57.1,59.3,0,0,0,0,1,0,5,0,1,nowelma01
338,Jusuf Nurkić,C,29,PHO,27,769,,,,,100%,5.7,12.2,24,15,51,14,42,1,237,7,21,nurkiju01
339,Jordan Nwora,SF,25,IND,10,118,,4%,57%,39%,,-0.9,-2.4,6,2,4,1,5,0,23,3,2,nworajo01
340,Royce O'Neale,SF,30,BRK,26,719,4%,35%,49%,10%,1%,0.4,-0.1,13,6,41,4,5,5,202,0,5,onealro01
341,Chuma Okeke,SF,25,ORL,13,61,2%,71%,27%,,,2.2,-0.8,2,1,0,0,0,0,11,0,1,okekech01
342,Josh Okogie,SG,25,PHO,23,491,4%,50%,45%,1%,,3.1,3.9,11,5,15,1,28,16,65,6,7,okogijo01
343,Onyeka Okongwu,C,23,ATL,27,663,,,,11%,89%,2.4,4.3,8,1,46,6,31,0,92,7,12,okongon01
344,Isaac Okoro,SF,23,CLE,19,466,,4%,75%,21%,,-1.5,-3.4,4,3,19,6,18,8,88,4,11,okorois01
345,Kelly Olynyk,C,32,UTA,26,561,,,,29%,71%,-4.5,4.7,22,10,33,6,18,6,265,5,6,olynyke01
346,Eugene Omoruyi,SF,26,WAS,15,86,,,13%,87%,,11.3,22.6,5,2,7,1,9,3,18,1,2,omorueu01
347,Cedi Osman,SF,28,SAS,26,501,,1%,28%,71%,,-15.9,-7.4,9,6,22,0,14,11,109,6,4,osmande01
348,Kelly Oubre Jr.,SF,28,PHI,16,407,,24%,68%,8%,,10.8,-0.2,4,4,16,2,22,4,24,7,11,oubreke01
349,Chris Paul,PG,38,GSW,24,659,100%,,,,,4.3,7.7,18,8,15,0,10,3,450,3,6,paulch01
350,Cameron Payne,PG,29,MIL,27,445,81%,19%,,,,0.7,-7.6,11,5,25,0,9,2,157,1,6,payneca01
351,Gary Payton II,SG,31,GSW,14,242,1%,78%,21%,,,4.7,5.2,2,2,14,3,3,1,30,1,5,paytoga02
352,Filip Petrušev,C,23,TOT,3,10,,,,17%,83%,26.2,23.2,0,0,0,0,1,0,0,0,0,petrufi01
352,Filip Petrušev,C,23,PHI,1,3,,,,57%,43%,50.0,39.2,0,0,0,0,0,0,0,0,0,petrufi01
352,Filip Petrušev,C,23,SAC,2,7,,,,,100%,16.0,16.3,0,0,0,0,1,0,0,0,0,petrufi01
353,Julian Phillips,SF,20,CHI,16,70,,,80%,20%,,3.5,6.7,1,0,5,0,2,0,13,0,1,phillju01
354,Jalen Pickett,SG,24,DEN,12,77,82%,18%,,,,4.5,-0.5,2,1,4,0,1,1,21,0,1,pickeja02
355,Mason Plumlee,C,33,LAC,6,102,,,,,100%,-7.5,-15.4,2,2,4,1,6,2,15,2,3,plumlma01
356,Brandin Podziemski,SG,20,GSW,21,451,,88%,12%,,,7.1,10.1,16,7,17,3,11,11,137,5,8,podzibr01
357,Jakob Poeltl,C,28,TOR,27,702,,,,,100%,-2.9,-1.9,15,12,43,11,26,2,130,9,16,poeltja01
358,Aleksej Pokusevski,PF,22,OKC,7,43,,,,51%,49%,-30.1,-38.9,1,1,2,0,1,0,15,0,0,pokusal01
359,Jordan Poole,SG,24,WAS,25,734,18%,78%,4%,,,-16.0,-15.5,31,21,37,8,37,4,212,10,24,poolejo01
360,Craig Porter Jr.,PG,23,CLE,17,249,74%,26%,,,,-4.3,-6.3,10,2,11,1,12,0,118,2,5,portecr01
361,Michael Porter Jr.,SF,25,DEN,29,904,,,69%,31%,1%,6.7,5.1,11,12,34,4,20,0,101,10,13,portemi01
362,Otto Porter Jr.,SF,30,TOR,11,130,,5%,72%,22%,2%,7.8,10.9,1,0,6,1,1,0,7,1,2,porteot01
363,Bobby Portis,PF,28,MIL,27,646,,,2%,86%,12%,7.2,2.7,4,11,33,6,20,1,77,8,8,portibo01
364,Kristaps Porziņģis,C,28,BOS,20,604,,,,2%,98%,9.7,0.8,11,8,32,10,47,3,80,12,3,porzikr01
365,Micah Potter,PF,25,UTA,2,7,,,,40%,60%,-100.0,-93.2,0,0,0,0,0,0,0,0,0,pottemi01
366,Dwight Powell,C,32,DAL,24,355,,,,1%,99%,-4.9,-7.9,1,3,32,4,20,1,80,4,6,poweldw01
367,Norman Powell,SG,30,LAC,27,685,32%,63%,5%,,,5.9,-1.4,13,5,27,2,31,4,69,8,8,powelno01
368,Joshua Primo,SG,21,LAC,1,5,,100%,,,,-16.7,-23.4,2,1,0,0,0,0,0,0,0,primojo01
369,Taurean Prince,PF,29,LAL,26,796,,20%,79%,2%,,-0.4,0.1,15,4,29,1,9,8,101,2,5,princta02
370,Payton Pritchard,PG,26,BOS,27,552,100%,,,,,9.9,1.1,6,2,10,1,5,2,199,1,7,pritcpa01
371,Olivier-Maxence Prosper,PF,21,DAL,17,143,,,11%,80%,9%,-0.3,-1.2,0,0,5,1,7,2,32,0,1,prospol01
372,Neemias Queta,C,24,BOS,7,105,,,,,100%,19.1,10.7,0,1,9,2,2,1,6,1,4,quetane01
373,Immanuel Quickley,SG,24,NYK,26,623,41%,59%,,,,9.1,10.4,12,10,21,2,37,2,162,6,13,quickim01
374,Lester Quinones,SG,23,GSW,2,9,,,48%,52%,,5.9,5.5,1,0,1,0,0,0,0,0,0,quinole01
375,Julius Randle,PF,29,NYK,27,953,,,,100%,,4.0,1.3,32,28,30,16,78,1,363,19,36,randlju01
376,Duop Reath,C,27,POR,17,254,,,,,100%,10.1,20.8,2,3,20,5,8,0,45,1,7,reathdu01
377,Austin Reaves,SG,25,LAL,28,826,51%,49%,,,,-2.7,-5.7,41,18,16,5,33,13,328,11,14,reaveau01
378,Cam Reddish,SF,24,LAL,23,559,,65%,34%,2%,,1.0,2.5,3,10,20,1,16,3,71,2,14,reddica01
379,Paul Reed,C,24,PHI,27,371,,,,5%,95%,11.3,0.5,7,9,28,6,10,0,70,4,5,reedpa01
380,Naz Reid,C,24,MIN,26,583,,,,40%,60%,3.4,-6.7,12,9,27,5,20,2,58,3,17,reidna01
381,Jared Rhoden,SG,24,DET,5,30,,23%,78%,,,20.3,32.5,2,0,2,0,1,0,6,0,0,rhodeja01
382,Nick Richards,C,26,CHO,20,422,,,,,100%,-13.3,-3.5,2,6,31,9,21,2,24,1,10,richani01
383,Josh Richardson,SG,30,MIA,23,637,48%,48%,4%,,,-3.9,-9.2,16,1,16,3,9,3,169,2,3,richajo01
384,Duncan Robinson,SF,29,MIA,26,757,,19%,53%,29%,,0.8,-0.3,16,7,31,5,12,5,189,0,11,robindu01
385,Jerome Robinson,SG,26,GSW,1,5,,100%,,,,11.1,10.7,0,0,0,0,0,0,0,0,0,robinje01
386,Mitchell Robinson,C,25,NYK,21,613,,,,,100%,2.5,-2.2,1,13,26,3,14,2,36,2,10,robinmi01
387,Orlando Robinson,C,23,MIA,13,210,,,,,100%,0.0,-1.1,5,1,16,5,7,0,56,2,5,robinor01
388,Jeremiah Robinson-Earl,PF,23,NOP,11,111,,,,75%,25%,-14.8,-18.9,4,2,3,0,3,2,14,0,1,robinje02
389,David Roddy,PF,22,MEM,26,619,,1%,66%,33%,,-5.2,3.0,9,13,20,2,16,3,84,4,17,roddyda01
390,Ryan Rollins,PG,21,WAS,8,49,100%,,,,,46.5,58.5,3,4,2,0,8,2,23,2,1,rolliry01
391,Derrick Rose,PG,35,MEM,15,284,99%,1%,,,,-1.2,7.2,15,3,10,1,11,7,125,1,13,rosede01
392,Terry Rozier,SG,29,CHO,17,606,67%,33%,,,,-9.5,2.8,24,7,13,7,23,13,289,5,14,roziete01
393,Rayan Rupert,SG,19,POR,7,31,,76%,24%,,,-45.4,-39.8,0,0,0,1,2,0,5,0,2,ruperra01
394,D'Angelo Russell,PG,27,LAL,27,808,100%,,,,,2.1,6.7,31,11,26,2,20,8,385,7,12,russeda01
395,Matt Ryan,SF,26,NOP,13,298,6%,18%,64%,12%,,3.9,1.8,8,2,11,2,5,1,33,2,0,ryanma01
396,Domantas Sabonis,C,27,SAC,26,899,,,,,100%,-1.1,-3.0,31,21,45,13,73,1,482,19,33,sabondo01
397,Luka Šamanić,PF,24,UTA,12,81,,,9%,66%,26%,10.9,19.4,1,3,5,1,2,1,6,2,6,samanlu01
398,Jermaine Samuels,SF,25,HOU,5,29,,,83%,17%,,-14.0,-17.8,0,0,0,0,0,0,6,0,0,samueje01
399,Gui Santos,PF,21,GSW,2,12,,,,100%,,12.3,12.0,2,0,2,0,0,0,2,0,0,santogu01
