,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
43,Bismack Biyombo,C,31,MEM,19,493,,,,60%,41%,-4.0,4.4,6,7,30,9,11,2,92,3,8,biyombi01
44,Anthony Black,PG,20,ORL,24,469,83%,17%,,,,4.3,2.2,15,4,28,0,11,7,98,6,6,blackan01
45,Leaky Black,SF,24,CHO,7,40,,,17%,83%,,-15.7,-4.9,0,1,2,0,0,0,11,0,2,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,701,,75%,25%,1%,,4.8,9.6,18,7,33,2,19,2,157,7,14,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,251,,1%,33%,66%,,-17.6,-7.6,12,2,4,1,17,2,45,6,8,bogdabo02
48,Bol Bol,PF,24,PHO,6,15,,,29%,71%,,-63.3,-64.7,2,0,1,0,0,0,0,0,0,bolbo01
49,Marques Bolden,C,25,MIL,2,3,,,,,100%,145.2,139.8,0,0,1,0,0,0,0,0,0,boldema01
50,Devin Booker,SG,27,PHO,18,643,2%,34%,62%,3%,,5.6,9.7,30,15,33,5,51,3,367,11,16,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,11,,55%,45%,,,-23.1,-30.0,0,0,2,1,0,1,5,0,0,bostobr01
52,Chris Boucher,PF,31,TOR,25,354,,,15%,62%,23%,3.7,7.8,2,3,25,4,25,5,17,7,11,bouchch01
53,James Bouknight,SG,23,CHO,3,18,,33%,67%,,,-37.6,-27.0,1,0,1,0,0,0,0,0,0,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,57,100%,,,,,-20.6,-14.6,4,2,1,1,0,1,21,0,2,bouyeja01
55,Malaki Branham,SG,20,SAS,26,578,15%,80%,6%,,,-12.5,-2.0,23,7,22,0,9,2,147,4,10,branhma01
56,Christian Braun,SG,22,DEN,29,587,3%,54%,42%,2%,,0.3,-8.0,6,10,31,5,24,2,123,6,20,braunch01
57,Mikal Bridges,SF,27,BRK,27,938,1%,23%,44%,31%,2%,-1.1,-5.4,36,24,23,2,48,9,254,12,22,bridgmi01
58,Miles Bridges,SF,25,CHO,15,544,,3%,77%,20%,,-10.7,0.6,7,12,19,2,29,4,91,10,12,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,130,,13%,62%,26%,,0.5,-9.7,1,2,8,1,6,0,15,0,4,brissos01
60,Malcolm Brogdon,PG,31,POR,19,519,66%,35%,,,,-1.6,8.4,16,9,12,2,22,5,255,7,16,brogdma01
61,Armoni Brooks,PG,25,BRK,7,64,80%,21%,,,,26.5,27.4,1,0,0,0,0,0,6,0,3,brookar01
62,Dillon Brooks,SF,28,HOU,25,795,,11%,78%,11%,,2.7,-1.7,21,17,58,5,28,11,100,7,8,brookdi01
63,Bruce Brown,SG,27,IND,26,800,2%,90%,8%,,,3.5,6.2,11,11,32,3,27,1,186,9,13,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,2,,,100%,,,-80.0,-83.8,1,0,0,0,0,0,0,0,0,brownch02
65,Greg Brown III,PF,22,DAL,3,11,,,100%,,,4.0,3.2,0,1,0,0,3,0,2,1,0,browngr01
66,Jaylen Brown,SF,27,BOS,26,884,,29%,70%,1%,,8.6,-2.1,20,23,30,11,48,3,246,17,29,brownja02
67,Kobe Brown,PF,24,LAC,17,164,,,,88%,12%,4.3,-2.6,1,1,18,1,1,1,20,0,3,brownko01
68,Moses Brown,C,24,POR,5,35,,,,,100%,-17.5,-11.2,0,1,1,0,1,0,2,0,1,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,334,,35%,59%,5%,1%,5.2,-2.5,8,2,9,2,4,2,63,0,2,browntr01
70,Jalen Brunson,PG,27,NYK,27,958,100%,,,,,2.8,-2.9,35,22,28,3,55,33,391,21,14,brunsja01
71,Thomas Bryant,C,26,MIA,18,223,,,,2%,99%,-4.6,-6.6,2,1,10,7,10,0,29,2,4,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,4,100%,,,,,-155.6,-156.4,0,0,0,0,0,0,0,0,1,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,93,2%,48%,46%,5%,,-8.0,-12.3,1,0,3,1,1,0,6,1,0,bullore01
74,Alec Burks,SG,32,DET,20,359,,25%,69%,6%,,-11.8,-0.5,5,1,13,0,22,10,71,3,5,burksal01
75,Jared Butler,SG,23,WAS,13,103,90%,10%,,,,-10.0,-0.4,4,3,8,2,6,1,49,3,2,butleja02
76,Jimmy Butler,PF,34,MIA,23,783,,,11%,88%,1%,6.2,12.5,23,13,11,3,77,3,281,15,25,butleji01
77,Jamal Cain,PF,24,MIA,8,113,,,17%,83%,,-6.9,-8.6,0,0,3,0,6,0,2,1,0,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,880,9%,80%,11%,,,11.1,16.6,24,5,32,1,16,8,157,2,6,caldwke01
79,Toumani Camara,PF,23,POR,26,658,,,,89%,11%,-5.8,1.9,15,4,39,4,15,11,69,4,13,camarto01
80,Clint Capela,C,29,ATL,26,670,,,,,100%,-1.0,-2.7,7,3,36,6,35,8,73,6,26,capelca01
81,Jevon Carter,PG,28,CHI,29,414,100%,,,,,1.3,5.9,10,3,15,2,1,3,84,1,4,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,170,,,,3%,97%,-0.3,-3.9,1,2,5,3,7,1,22,0,5,cartewe01
83,Alex Caruso,SG,29,CHI,23,533,10%,87%,3%,,,-1.2,2.7,26,5,24,1,12,15,119,2,6,carusal01
84,Colin Castleton,C,23,LAL,4,28,,,,,100%,-16.5,-16.3,0,0,3,0,1,0,6,0,0,castlco01
85,Malcolm Cazalon,SG,22,DET,1,3,,,,100%,,63.3,75.0,0,0,0,0,0,0,0,0,0,cazalma01
86,Julian Champagnie,SF,22,SAS,19,244,,1%,48%,50%,1%,-19.4,-9.8,8,3,10,0,6,2,35,2,1,champju02
87,Max Christie,SG,20,LAL,22,362,8%,83%,9%,,,-3.8,-4.5,12,2,15,1,6,0,55,0,7,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,4,,,100%,,,-33.3,-21.9,0,1,0,0,0,0,0,0,0,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,586,,81%,18%,,,-11.1,-6.8,28,19,14,3,26,3,233,4,24,clarkjo01
90,Nic Claxton,C,24,BRK,18,487,,,,,100%,-5.0,-8.6,3,4,24,6,18,2,55,5,11,claxtni01
91,Noah Clowney,PF,19,BRK,1,3,,,87%,13%,,-120.0,-120.6,0,0,0,0,0,0,0,0,0,clownno01
92,Amir Coffey,SF,26,LAC,15,171,,3%,75%,22%,,1.6,-5.8,2,0,10,3,4,3,23,1,2,coffeam01
93,John Collins,PF,26,UTA,24,726,,,27%,70%,3%,-12.9,-12.0,13,14,38,5,26,6,46,6,27,collijo01
94,Zach Collins,C,26,SAS,26,701,,,,,100%,-11.0,1.1,32,13,53,10,24,6,208,6,10,colliza01
95,Mike Conley,PG,36,MIN,26,765,100%,,,,,9.0,5.0,25,2,18,2,13,14,372,3,5,conlemi01
96,Pat Connaughton,SF,31,MIL,21,464,2%,41%,56%,1%,,4.1,-2.7,7,6,12,2,5,5,110,2,2,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,673,1%,52%,46%,1%,,-8.7,2.2,26,7,25,1,25,0,98,9,14,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,432,,8%,73%,19%,,11.2,0.0,2,4,19,2,11,2,49,1,6,covinro01
98,Robert Covington,PF,33,LAC,3,69,,,96%,4%,,32.8,27.7,0,0,3,0,1,1,19,0,0,covinro01
98,Robert Covington,SF,33,PHI,22,363,,9%,69%,22%,,7.1,-5.2,2,4,16,2,10,1,30,1,6,covinro01
99,Torrey Craig,SF,33,CHI,27,572,,,26%,74%,,-8.0,-8.6,11,2,36,2,12,3,62,5,5,craigto01
100,Jae Crowder,PF,33,MIL,9,240,,,55%,45%,,-10.2,-19.7,2,1,6,1,2,2,37,0,1,crowdja01
101,Cade Cunningham,PG,22,DET,27,935,35%,59%,6%,,,-11.9,-1.4,64,30,37,6,46,2,436,10,40,cunnica01
102,Seth Curry,SG,33,DAL,21,251,18%,68%,14%,,,11.9,13.7,3,1,9,1,4,4,46,3,1,curryse01
103,Stephen Curry,PG,35,GSW,25,847,65%,35%,,,,-1.4,-5.2,50,23,23,4,53,4,263,15,20,curryst01
104,Dyson Daniels,PG,20,NOP,28,666,59%,38%,4%,,,3.4,1.8,15,11,26,2,14,3,189,2,9,daniedy01
105,Anthony Davis,C,30,LAL,26,919,,,,4%,96%,2.5,9.6,17,12,44,11,75,2,181,22,32,davisan02
106,Johnny Davis,SG,21,WAS,14,128,,88%,12%,,,0.0,10.8,0,4,4,1,2,0,11,1,5,davisjo06
107,Dexter Dennis,SG,24,DAL,2,7,,,100%,,,-46.7,-47.8,0,0,0,0,1,0,0,1,0,dennide01
108,DeMar DeRozan,SF,34,CHI,27,982,,5%,75%,20%,,-5.2,-7.9,21,13,36,4,91,9,367,24,29,derozde01
109,Moussa Diabaté,C,22,LAC,9,55,,,,,100%,5.9,-0.8,1,0,2,0,4,1,11,0,3,diabamo01
110,Gradey Dick,SG,20,TOR,17,227,4%,55%,42%,,,-16.5,-17.5,7,2,15,1,4,3,39,0,4,dickgr01
111,Ousmane Dieng,PF,20,OKC,16,183,,,8%,74%,18%,-8.5,-18.9,2,4,9,0,5,1,40,2,1,diengou01
112,Spencer Dinwiddie,PG,30,BRK,26,827,92%,8%,,,,1.1,2.0,30,7,20,5,50,3,443,14,8,dinwisp01
