Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,387,6.7,14.0,.477,1.2,3.9,.310,5.5,10.1,.541,2.0,3.3,.583,4.3,7.3,11.6,3.9,1.2,0.8,2.5,3.4,16.6,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,603,8.9,17.3,.514,0.1,0.2,.333,8.8,17.1,.516,5.8,7.2,.808,2.1,8.1,10.3,4.2,1.3,1.0,2.6,2.7,23.6,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,590,4.4,9.8,.450,2.1,5.6,.380,2.3,4.1,.544,0.4,0.5,.750,1.6,2.9,4.5,1.9,1.2,0.9,1.2,2.6,11.3,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,501,6.5,14.9,.438,2.4,7.2,.340,4.1,7.8,.528,1.6,2.5,.629,2.3,6.2,8.5,2.8,1.0,1.1,1.6,2.6,17.1,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,609,4.0,9.5,.416,2.2,6.1,.365,1.7,3.4,.509,0.7,1.0,.647,0.7,2.4,3.1,3.8,1.2,1.1,1.7,2.9,10.8,alexani01
6,Grayson Allen,SG,28,PHO,22,22,731,4.4,9.1,.486,2.4,5.3,.449,2.1,3.8,.538,2.0,2.3,.891,0.9,4.0,5.0,2.9,0.9,0.5,1.5,2.6,13.2,allengr01
7,Jarrett Allen,C,25,CLE,23,23,669,6.7,10.1,.668,0.0,0.0,,6.7,10.1,.668,2.6,3.9,.681,3.6,6.7,10.3,2.9,1.0,1.2,2.3,3.5,16.1,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,236,5.2,12.7,.410,2.9,7.0,.413,2.3,5.6,.405,1.8,3.1,.600,1.1,4.4,5.5,4.4,2.4,0.8,2.1,3.1,15.1,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,598,4.1,9.0,.456,0.1,1.1,.105,4.0,7.8,.508,2.2,3.3,.685,1.1,4.3,5.4,6.3,1.3,1.3,2.3,2.3,10.5,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,903,11.8,19.4,.611,0.4,1.8,.222,11.4,17.6,.651,7.7,11.6,.662,2.8,8.7,11.5,5.6,1.5,1.2,3.9,2.9,31.7,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,0,55,2.6,5.9,.444,0.0,0.0,,2.6,5.9,.444,0.0,0.0,,2.0,2.0,3.9,3.3,1.3,0.7,3.3,4.6,5.2,antetth01
12,Cole Anthony,PG,23,ORL,26,0,653,7.2,15.6,.459,2.0,5.3,.375,5.2,10.3,.503,5.2,6.1,.847,1.5,4.5,6.0,5.2,1.0,0.7,2.7,4.2,21.5,anthoco01
13,OG Anunoby,SF,26,TOR,23,23,763,6.1,13.0,.469,2.5,6.8,.372,3.5,6.1,.577,1.3,1.8,.692,1.0,3.3,4.3,2.7,1.1,0.6,1.8,2.6,16.0,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,0,20,0.0,5.4,.000,0.0,5.4,.000,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,5.4,1.8,0.0,0.0,0.0,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,26,26,699,6.0,12.0,.498,1.2,3.6,.343,4.7,8.4,.564,2.3,2.8,.815,1.4,5.9,7.4,5.2,1.0,0.4,2.0,3.0,15.5,avdijde01
16,Deandre Ayton,C,25,POR,22,22,696,6.6,11.8,.557,0.0,0.0,,6.6,11.8,.557,1.2,1.5,.828,3.7,8.5,12.2,1.8,1.3,0.8,2.3,2.8,14.4,aytonde01
17,Udoka Azubuike,C,24,PHO,2,0,9,4.0,4.0,1.000,0.0,0.0,,4.0,4.0,1.000,0.0,0.0,,0.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,8.0,azubuud01
18,Marvin Bagley III,C,24,DET,22,9,411,7.9,13.8,.573,0.1,0.4,.200,7.8,13.3,.586,3.9,4.6,.830,3.6,5.5,9.1,2.1,0.3,1.2,2.5,3.1,19.7,baglema01
19,Amari Bailey,PG,19,CHO,2,0,11,6.5,19.6,.333,0.0,6.5,.000,6.5,13.1,.500,3.3,6.5,.500,6.5,0.0,6.5,0.0,0.0,0.0,3.3,0.0,16.4,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,0,39,4.6,12.0,.385,2.8,4.6,.600,1.8,7.4,.250,3.7,3.7,1.000,1.8,7.4,9.2,2.8,0.0,0.9,0.9,3.7,15.7,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,15,501,9.5,21.4,.443,3.7,9.6,.388,5.7,11.8,.488,3.9,4.5,.857,1.7,4.2,5.9,8.8,1.5,0.3,4.2,3.7,26.6,ballla01
22,Mo Bamba,C,25,PHI,15,0,91,7.9,14.6,.541,2.0,4.0,.500,5.9,10.7,.556,3.2,4.4,.727,6.7,7.1,13.8,1.6,0.4,4.0,2.8,5.1,21.0,bambamo01
23,Paolo Banchero,PF,21,ORL,26,26,875,8.1,17.1,.471,1.4,3.7,.371,6.7,13.5,.498,4.6,6.7,.681,1.4,5.9,7.4,4.9,1.1,0.6,3.5,2.2,22.1,banchpa01
24,Desmond Bane,SG,25,MEM,25,25,860,9.4,20.3,.465,3.5,9.3,.380,5.9,11.0,.536,3.2,3.8,.856,1.1,3.5,4.6,5.4,1.3,0.7,3.2,3.2,25.6,banede01
25,Dalano Banton,PG,24,BOS,12,1,94,5.4,11.1,.483,0.4,3.1,.125,5.0,8.0,.619,1.9,2.3,.833,3.8,5.7,9.6,1.9,0.8,0.8,1.9,4.6,13.0,bantoda01
26,Dominick Barlow,PF,20,SAS,8,0,45,2.4,7.2,.333,0.0,1.6,.000,2.4,5.6,.429,3.2,4.8,.667,0.0,6.4,6.4,0.0,0.8,0.0,0.0,3.2,8.0,barlodo01
27,Harrison Barnes,PF,31,SAC,26,26,795,4.7,9.7,.486,2.1,5.2,.400,2.6,4.5,.586,2.1,2.6,.807,1.1,2.7,3.8,1.8,0.8,0.2,0.9,1.3,13.6,barneha02
28,Scottie Barnes,SG,22,TOR,27,27,944,8.0,16.2,.493,2.0,5.3,.381,6.0,10.9,.547,3.2,4.3,.750,2.7,6.8,9.5,5.9,1.6,1.3,2.6,2.1,21.2,barnesc01
29,RJ Barrett,SG,23,NYK,22,22,643,7.8,18.3,.426,2.1,6.0,.343,5.7,12.2,.468,5.2,6.0,.860,0.8,4.1,4.9,3.1,0.6,0.4,2.0,1.8,22.8,barrerj01
30,Charles Bassey,C,23,SAS,19,0,205,5.1,7.0,.725,0.0,0.2,.000,5.1,6.8,.744,0.9,1.1,.833,4.0,9.3,13.3,3.7,1.4,3.0,2.6,5.4,11.1,bassech01
31,Emoni Bates,SF,20,CLE,7,0,52,2.8,10.4,.267,2.1,8.3,.250,0.7,2.1,.333,0.7,1.4,.500,0.7,5.5,6.2,1.4,0.7,0.7,0.7,1.4,8.3,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,8,387,3.8,9.6,.398,0.9,3.7,.250,2.9,5.9,.492,2.1,3.0,.719,1.9,4.5,6.3,1.8,1.1,1.4,0.6,1.9,10.7,bateske01
33,Nicolas Batum,PF,35,TOT,20,14,478,3.0,5.6,.541,2.0,4.2,.464,1.1,1.4,.778,0.5,0.8,.636,1.4,4.1,5.5,3.2,0.9,1.0,0.7,2.6,8.5,batumni01
33,Nicolas Batum,PF,35,LAC,3,0,54,2.0,5.3,.375,1.3,4.7,.286,0.7,0.7,1.000,0.0,0.0,,0.0,4.7,4.7,3.3,2.0,2.7,0.7,3.3,5.3,batumni01
33,Nicolas Batum,PF,35,PHI,17,14,424,3.1,5.6,.561,2.0,4.2,.490,1.1,1.4,.765,0.6,0.9,.636,1.5,4.1,5.6,3.2,0.8,0.8,0.7,2.5,8.9,batumni01
34,Bradley Beal,SG,30,PHO,6,6,151,7.4,16.5,.449,2.1,5.0,.429,5.2,11.4,.458,4.1,5.7,.708,0.7,4.1,4.8,4.5,1.0,0.5,3.3,3.1,21.0,bealbr01
35,Malik Beasley,SG,27,MIL,25,25,755,5.1,10.6,.482,3.4,7.6,.450,1.7,3.0,.565,0.4,0.6,.667,0.9,4.4,5.2,1.8,1.1,0.2,0.8,2.4,14.0,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,1,375,4.2,8.7,.484,1.6,3.7,.436,2.6,5.0,.519,1.1,1.7,.611,1.3,4.1,5.5,1.7,0.7,0.4,1.6,3.5,11.1,beaucma01
37,Jules Bernard,SG,24,WAS,2,0,10,3.6,18.0,.200,0.0,10.8,.000,3.6,7.2,.500,0.0,0.0,,3.6,0.0,3.6,3.6,0.0,0.0,3.6,3.6,7.2,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,0,71,3.5,9.6,.368,3.5,9.1,.389,0.0,0.5,.000,7.1,7.6,.933,0.5,3.5,4.1,3.5,1.0,1.0,0.5,5.1,17.7,bertada01
39,Patrick Beverley,PG,35,PHI,27,1,465,3.5,8.3,.421,1.3,4.3,.309,2.2,4.0,.538,1.3,2.0,.654,1.5,4.3,5.8,4.8,1.1,0.5,1.3,3.5,9.6,beverpa01
40,Saddiq Bey,SF,24,ATL,27,15,855,5.3,11.5,.462,2.0,5.8,.350,3.3,5.7,.574,1.9,2.4,.789,2.5,4.6,7.1,1.4,1.2,0.2,1.3,1.7,14.5,beysa01
41,Goga Bitadze,C,24,ORL,24,20,506,5.1,8.5,.597,0.1,0.4,.200,5.0,8.1,.614,2.4,3.4,.708,3.9,6.8,10.7,3.0,1.1,2.8,1.4,4.0,12.6,bitadgo01
42,Onuralp Bitim,SG,24,CHI,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitimon01
43,Bismack Biyombo,C,31,MEM,19,18,493,3.7,6.4,.586,0.0,0.0,,3.7,6.4,.586,1.4,2.7,.514,3.1,6.4,9.6,2.7,0.5,1.7,1.9,4.2,8.8,biyombi01
44,Anthony Black,PG,20,ORL,24,20,469,3.7,7.4,.500,0.8,2.7,.314,2.8,4.7,.607,1.2,2.1,.571,1.2,3.4,4.6,3.1,0.7,0.6,1.6,3.8,9.4,blackan01
45,Leaky Black,SF,24,CHO,7,0,40,4.5,7.2,.625,0.9,1.8,.500,3.6,5.4,.667,0.0,0.0,,1.8,4.5,6.3,3.6,1.8,2.7,0.9,1.8,9.9,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,2,701,8.2,17.4,.469,4.4,10.7,.413,3.7,6.7,.557,1.9,2.1,.925,0.5,3.9,4.4,3.4,1.8,0.4,1.5,3.4,22.6,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,7,251,8.3,16.8,.496,3.6,8.5,.424,4.7,8.3,.569,4.0,5.3,.757,0.6,2.0,2.6,2.9,1.3,0.0,2.2,1.7,24.2,bogdabo02
48,Bol Bol,PF,24,PHO,6,0,15,4.8,7.2,.667,0.0,2.4,.000,4.8,4.8,1.000,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,2.4,4.8,2.4,9.6,bolbo01
49,Marques Bolden,C,25,MIL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,24.0,24.0,0.0,0.0,0.0,0.0,12.0,0.0,boldema01
50,Devin Booker,SG,27,PHO,18,18,643,9.5,19.9,.476,2.0,5.3,.383,7.4,14.6,.510,7.2,8.0,.908,0.9,4.8,5.7,8.3,0.7,0.4,3.1,3.5,28.2,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,0,11,13.1,22.9,.571,3.3,9.8,.333,9.8,13.1,.750,0.0,0.0,,0.0,6.5,6.5,6.5,0.0,0.0,3.3,9.8,29.5,bostobr01
52,Chris Boucher,PF,31,TOR,25,0,354,5.5,12.2,.450,1.6,4.8,.340,3.9,7.4,.521,3.7,4.8,.766,3.1,6.5,9.6,0.8,0.8,1.6,1.2,4.1,16.3,bouchch01
53,James Bouknight,SG,23,CHO,3,0,18,12.0,22.0,.545,10.0,20.0,.500,2.0,2.0,1.000,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,0.0,2.0,2.0,34.0,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,0,57,3.2,13.3,.238,0.0,5.1,.000,3.2,8.2,.385,0.0,0.0,,1.3,5.1,6.3,5.1,0.0,0.0,5.1,1.9,6.3,bouyeja01
55,Malaki Branham,SG,20,SAS,26,14,578,6.0,13.5,.444,1.7,5.3,.318,4.3,8.2,.527,0.9,0.9,.933,0.4,2.4,2.8,3.9,0.7,0.2,1.9,2.2,14.5,branhma01
56,Christian Braun,SG,22,DEN,29,0,587,5.9,12.3,.478,1.2,3.2,.385,4.7,9.1,.510,2.3,3.0,.755,1.4,5.4,6.8,3.2,0.7,0.6,1.3,3.1,15.3,braunch01
57,Mikal Bridges,SF,27,BRK,27,27,938,8.0,17.5,.457,2.3,6.1,.377,5.7,11.4,.500,4.2,4.9,.852,1.1,4.6,5.6,3.8,1.0,0.5,2.5,1.7,22.5,bridgmi01
58,Miles Bridges,SF,25,CHO,15,13,544,7.3,15.6,.470,1.8,5.4,.333,5.6,10.3,.542,3.0,3.5,.849,0.9,6.0,6.9,2.4,1.4,0.2,1.7,2.2,19.5,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,0,130,3.0,6.9,.440,0.8,3.0,.273,2.2,3.9,.571,2.5,3.9,.643,3.0,5.0,8.0,1.7,1.4,0.0,1.1,3.6,9.4,brissos01
60,Malcolm Brogdon,PG,31,POR,19,10,519,7.4,17.5,.421,2.8,7.1,.388,4.6,10.3,.443,3.0,3.9,.768,1.0,3.6,4.6,7.1,1.0,0.2,2.0,1.7,20.5,brogdma01
61,Armoni Brooks,PG,25,BRK,7,0,64,5.1,15.2,.333,3.9,10.7,.368,1.1,4.5,.250,0.0,0.0,,2.3,4.5,6.8,1.7,0.0,0.6,0.6,0.6,14.1,brookar01
62,Dillon Brooks,SF,28,HOU,25,25,795,5.9,12.3,.483,2.3,5.4,.417,3.7,6.8,.536,2.0,2.4,.830,0.9,3.2,4.0,1.9,1.1,0.0,2.1,4.5,16.1,brookdi01
63,Bruce Brown,SG,27,IND,26,26,800,5.2,11.3,.460,1.2,4.1,.300,4.0,7.3,.549,2.3,2.8,.806,0.9,4.5,5.4,3.4,1.4,0.3,1.4,2.9,13.9,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,0,2,0.0,18.0,.000,0.0,18.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,brownch02
65,Greg Brown III,PF,22,DAL,3,0,11,6.5,6.5,1.000,0.0,0.0,,6.5,6.5,1.000,3.3,16.4,.200,3.3,3.3,6.5,3.3,0.0,0.0,3.3,3.3,16.4,browngr01
66,Jaylen Brown,SF,27,BOS,26,26,884,9.4,19.7,.478,2.3,6.8,.333,7.1,12.8,.556,3.0,4.0,.745,0.8,4.3,5.1,4.0,1.1,0.7,2.5,3.0,24.1,brownja02
67,Kobe Brown,PF,24,LAC,17,0,164,3.3,8.8,.375,1.8,5.7,.308,1.5,3.1,.500,0.2,0.4,.500,1.3,5.0,6.4,1.8,0.4,0.7,0.7,6.6,8.6,brownko01
68,Moses Brown,C,24,POR,5,0,35,6.2,12.3,.500,0.0,0.0,,6.2,12.3,.500,0.0,2.1,.000,8.2,10.3,18.5,1.0,1.0,1.0,1.0,2.1,12.3,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,3,334,4.6,10.0,.462,2.7,6.9,.391,1.9,3.1,.621,1.8,2.2,.850,1.4,4.9,6.3,2.7,0.6,0.2,1.5,1.8,13.8,browntr01
70,Jalen Brunson,PG,27,NYK,27,27,958,9.0,19.1,.472,3.0,6.7,.458,6.0,12.4,.480,4.5,5.7,.801,0.8,3.3,4.1,5.9,1.2,0.1,2.3,2.1,25.6,brunsja01
71,Thomas Bryant,C,26,MIA,18,3,223,6.5,11.6,.556,0.0,0.5,.000,6.5,11.1,.580,2.7,3.2,.850,3.6,7.6,11.1,1.8,1.0,0.8,2.4,3.7,15.7,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,0,4,0.0,27.0,.000,0.0,9.0,.000,0.0,18.0,.000,9.0,18.0,.500,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,0,93,2.7,7.7,.350,2.3,6.6,.353,0.4,1.2,.333,0.4,0.4,1.000,0.8,4.3,5.0,1.2,0.4,0.4,0.8,2.7,8.1,bullore01
74,Alec Burks,SG,32,DET,20,0,359,5.2,15.7,.331,3.2,9.3,.344,2.0,6.4,.313,4.9,5.6,.875,1.0,3.4,4.4,2.9,0.8,0.4,0.8,2.8,18.6,burksal01
75,Jared Butler,SG,23,WAS,13,0,103,6.6,13.3,.500,2.1,6.3,.333,4.5,7.0,.650,3.8,4.5,.846,0.0,3.1,3.1,7.7,2.4,0.3,3.5,4.9,19.2,butleja02
76,Jimmy Butler,PF,34,MIA,23,23,783,7.1,15.3,.462,0.9,2.4,.377,6.2,12.9,.479,7.7,8.7,.879,2.1,3.4,5.5,4.9,1.1,0.4,1.9,1.1,22.8,butleji01
77,Jamal Cain,PF,24,MIA,8,0,113,4.1,9.2,.448,1.3,4.8,.267,2.9,4.5,.643,2.2,3.5,.636,1.6,2.2,3.8,0.3,1.9,0.6,0.6,1.9,11.8,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,27,880,4.1,8.7,.465,1.6,3.8,.415,2.5,4.9,.504,1.9,2.1,.902,0.5,1.7,2.2,2.8,1.6,0.5,1.2,2.2,11.6,caldwke01
79,Toumani Camara,PF,23,POR,26,17,658,3.8,9.3,.412,1.3,4.3,.304,2.5,5.0,.505,1.4,2.0,.676,2.8,3.9,6.8,1.5,1.4,0.8,1.5,4.1,10.3,camarto01
80,Clint Capela,C,29,ATL,26,26,670,7.0,12.0,.583,0.0,0.0,,7.0,12.0,.583,2.5,3.7,.691,6.9,8.0,14.9,1.6,1.0,2.4,1.1,3.7,16.5,capelca01
81,Jevon Carter,PG,28,CHI,29,0,414,5.2,13.8,.377,3.1,9.0,.350,2.1,4.9,.429,0.0,0.1,.000,0.3,1.4,1.7,3.0,1.3,0.6,1.5,3.0,13.6,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,6,170,4.2,10.4,.408,1.3,3.8,.333,3.0,6.6,.452,1.9,3.4,.563,2.5,7.8,10.4,1.9,0.6,0.4,1.7,3.6,11.6,cartewe01
83,Alex Caruso,SG,29,CHI,23,11,533,5.3,9.7,.549,2.5,5.3,.468,2.8,4.4,.646,1.8,2.3,.765,1.8,3.4,5.3,3.6,1.8,1.3,2.2,3.5,14.9,carusal01
84,Colin Castleton,C,23,LAL,4,0,28,6.4,10.3,.625,0.0,0.0,,6.4,10.3,.625,2.6,2.6,1.000,3.9,5.1,9.0,3.9,0.0,0.0,0.0,6.4,15.4,castlco01
85,Malcolm Cazalon,SG,22,DET,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
86,Julian Champagnie,SF,22,SAS,19,5,244,4.9,12.7,.384,3.7,9.4,.391,1.2,3.2,.364,1.2,1.6,.727,0.9,3.2,4.1,2.2,1.0,1.8,1.9,2.4,14.6,champju02
87,Max Christie,SG,20,LAL,22,6,362,3.6,9.2,.387,1.3,4.3,.302,2.3,5.0,.460,1.0,1.4,.714,0.3,5.1,5.4,2.2,0.8,0.4,1.5,3.0,9.4,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,19,586,7.1,17.7,.399,1.9,6.5,.295,5.2,11.2,.459,3.4,4.1,.833,1.5,2.5,3.9,5.8,1.0,0.2,3.5,1.7,19.4,clarkjo01
90,Nic Claxton,C,24,BRK,18,18,487,6.9,10.6,.646,0.1,0.1,1.000,6.8,10.6,.643,1.8,2.9,.641,4.2,8.0,12.2,1.8,0.5,3.3,1.2,3.6,15.7,claxtni01
91,Noah Clowney,PF,19,BRK,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,clownno01
92,Amir Coffey,SF,26,LAC,15,2,171,3.2,8.0,.395,1.5,4.8,.304,1.7,3.2,.533,2.1,2.3,.909,0.8,3.6,4.4,1.9,0.4,0.0,1.3,3.6,9.9,coffeam01
93,John Collins,PF,26,UTA,24,22,726,6.4,13.3,.485,1.8,4.4,.404,4.7,8.9,.525,2.4,3.2,.766,3.0,6.8,9.8,1.0,0.7,1.1,1.8,3.2,17.1,collijo01
94,Zach Collins,C,26,SAS,26,21,701,6.5,13.6,.481,1.5,5.0,.306,5.0,8.5,.584,2.8,3.5,.809,2.7,5.4,8.1,4.5,0.8,0.8,3.3,4.4,17.4,colliza01
95,Mike Conley,PG,36,MIN,26,26,765,4.6,10.1,.458,2.7,6.3,.436,1.9,3.8,.494,1.8,1.9,.951,0.5,3.0,3.4,7.4,1.1,0.1,1.4,2.1,13.8,conlemi01
96,Pat Connaughton,SF,31,MIL,21,0,464,3.3,8.1,.413,1.8,5.4,.333,1.6,2.7,.571,0.7,1.0,.692,1.1,4.5,5.6,3.4,0.9,0.3,1.2,1.7,9.2,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,1,673,4.7,8.9,.521,1.7,4.1,.416,2.9,4.8,.611,1.6,2.5,.638,1.0,4.5,5.5,2.2,1.4,0.9,2.1,2.5,12.6,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,6,432,3.2,7.4,.438,1.6,4.3,.365,1.7,3.1,.541,1.7,2.0,.875,2.4,4.9,7.3,1.7,2.7,1.4,0.8,3.8,9.8,covinro01
98,Robert Covington,PF,33,LAC,3,3,69,1.6,4.7,.333,1.0,4.2,.250,0.5,0.5,1.000,0.5,1.0,.500,1.0,3.1,4.2,3.7,3.1,1.0,0.0,3.7,4.7,covinro01
