Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
434,Jayson Tatum,PF,25,BOS,26,26,957,9.1,19.1,.476,2.9,8.4,.345,6.2,10.7,.579,5.1,6.4,.795,0.9,7.6,8.5,4.1,0.9,0.5,2.9,2.1,26.2,tatumja01
435,Terry Taylor,PF,24,CHI,7,0,13,5.5,5.5,1.000,0.0,0.0,,5.5,5.5,1.000,0.0,0.0,,2.8,2.8,5.5,0.0,2.8,0.0,0.0,0.0,11.1,taylote01
436,Garrett Temple,SG,37,TOR,6,0,19,7.6,9.5,.800,1.9,1.9,1.000,5.7,7.6,.750,3.8,3.8,1.000,0.0,3.8,3.8,5.7,1.9,0.0,0.0,0.0,20.8,templga01
437,Dalen Terry,SG,21,CHI,13,0,99,2.5,6.9,.368,0.7,4.0,.182,1.8,2.9,.625,0.7,1.5,.500,1.5,5.8,7.3,4.4,0.4,1.1,1.5,4.4,6.5,terryda01
438,Daniel Theis,C,31,TOT,17,0,283,5.7,12.5,.459,1.0,2.3,.444,4.7,10.2,.463,2.2,3.1,.708,3.7,4.6,8.3,1.9,0.9,1.9,1.1,5.6,14.6,theisda01
438,Daniel Theis,C,31,IND,1,0,8,4.5,18.0,.250,0.0,4.5,.000,4.5,13.5,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,theisda01
438,Daniel Theis,C,31,LAC,16,0,275,5.8,12.3,.468,1.0,2.2,.471,4.7,10.1,.468,2.2,3.1,.708,3.8,4.7,8.5,2.0,0.9,2.0,1.2,5.6,14.8,theisda01
439,Cam Thomas,SG,22,BRK,18,16,570,10.2,22.4,.455,2.8,7.3,.388,7.3,15.0,.487,4.2,5.1,.838,0.4,3.3,3.7,2.8,0.7,0.6,2.1,2.3,27.4,thomaca02
440,Amen Thompson,SF,21,HOU,6,0,86,4.6,10.9,.423,0.8,5.0,.167,3.8,5.9,.643,2.1,3.3,.625,1.3,6.3,7.5,2.9,0.8,0.4,2.5,4.6,12.1,thompam01
441,Ausar Thompson,SF,21,DET,27,23,728,5.6,12.1,.463,0.4,2.6,.151,5.2,9.4,.550,1.8,2.6,.692,3.6,7.2,10.8,3.2,1.2,1.5,2.3,4.6,13.4,thompau01
