Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
411,Shaedon Sharpe,SG,20,POR,26,25,911,8.0,19.5,.410,2.9,8.1,.360,5.1,11.5,.446,4.5,5.5,.824,1.9,5.6,7.5,4.6,1.3,0.5,3.6,4.1,23.5,,105,117,sharpsh01
412,Ben Sheppard,SG,22,IND,12,0,90,7.7,17.4,.441,3.6,10.8,.333,4.1,6.7,.615,2.1,3.1,.667,1.0,3.1,4.1,4.1,2.1,0.0,0.5,5.6,21.0,,122,124,sheppbe01
413,Pascal Siakam,PF,29,TOR,27,27,933,11.3,22.4,.507,1.4,5.2,.260,10.0,17.2,.582,5.6,7.6,.740,2.2,7.2,9.5,7.0,1.2,0.3,3.3,3.0,29.7,,116,117,siakapa01
414,Ben Simmons,PG,27,BRK,6,6,191,4.9,9.2,.528,0.0,0.0,,4.9,9.2,.528,0.3,1.0,.250,4.1,12.5,16.6,10.2,0.8,1.3,3.8,4.1,10.0,,113,114,simmobe01
415,Anfernee Simons,SG,24,POR,8,8,269,12.8,28.8,.443,4.2,12.0,.348,8.6,16.8,.511,7.3,7.8,.930,1.1,3.3,4.4,8.4,1.5,0.2,3.6,3.3,37.0,,117,119,simonan01
416,Jericho Sims,C,25,NYK,14,5,103,4.8,7.2,.667,0.0,0.0,,4.8,7.2,.667,1.4,2.4,.600,2.9,8.7,11.5,1.4,0.5,0.5,1.0,6.7,11.1,,135,117,simsje01
417,Jalen Slawson,SF,24,SAC,5,0,19,5.0,7.6,.667,0.0,2.5,.000,5.0,5.0,1.000,0.0,0.0,,0.0,10.1,10.1,5.0,0.0,2.5,5.0,7.6,10.1,,88,116,slawsja01
418,Marcus Smart,PG,29,MEM,11,11,329,7.5,17.5,.429,2.6,9.0,.295,4.9,8.5,.569,2.5,3.1,.810,0.4,3.5,4.0,8.1,3.2,0.6,5.4,5.1,20.2,,96,112,smartma01
419,Dennis Smith Jr.,PG,26,BRK,13,0,229,7.2,17.1,.425,1.5,4.7,.318,5.8,12.4,.466,2.6,3.0,.857,2.3,6.0,8.3,9.6,2.3,0.6,2.6,6.0,18.5,,116,116,smithde03
420,Dru Smith,SG,26,MIA,9,0,131,5.7,12.4,.455,2.6,6.4,.412,3.0,6.0,.500,0.8,0.8,1.000,2.3,3.0,5.3,5.3,3.4,1.1,1.9,4.5,14.7,,118,112,smithdr01
421,Ish Smith,PG,35,CHO,20,0,323,5.3,9.9,.530,0.3,0.6,.500,5.0,9.3,.532,0.0,0.0,,0.8,3.5,4.2,8.3,1.1,0.3,3.8,3.0,10.8,,101,126,smithis01
422,Jabari Smith Jr.,PF,20,HOU,25,25,759,8.0,16.6,.480,2.7,7.2,.369,5.3,9.4,.566,2.8,3.4,.811,3.2,11.1,14.3,2.7,0.8,1.4,2.0,5.3,21.4,,117,108,smithja05
423,Jalen Smith,C,23,IND,15,0,224,11.7,16.3,.722,3.3,4.7,.696,8.4,11.5,.732,4.1,5.6,.741,4.5,12.2,16.7,2.5,1.0,0.8,3.1,6.4,30.9,,143,120,smithja04
424,Nick Smith Jr.,SG,19,CHO,11,0,109,9.8,21.4,.458,4.5,10.7,.417,5.3,10.7,.500,0.0,0.0,,1.3,1.8,3.1,1.3,0.4,1.3,1.8,4.0,24.1,,106,127,smithni01
425,Jeremy Sochan,PG,20,SAS,26,25,757,6.5,15.7,.413,1.2,3.7,.333,5.3,12.0,.438,2.4,3.2,.750,2.5,6.4,8.9,6.8,1.1,0.4,3.6,4.5,16.7,,99,120,sochaje01
426,Jaden Springer,SG,21,PHI,16,0,169,6.3,16.6,.379,1.4,4.9,.294,4.9,11.7,.415,3.4,4.6,.750,4.0,3.4,7.4,4.9,2.9,2.0,4.3,7.1,17.4,,98,110,sprinja01
427,Lamar Stevens,PF,26,BOS,10,1,48,9.2,18.4,.500,2.0,6.1,.333,7.2,12.3,.583,3.1,4.1,.750,5.1,5.1,10.2,3.1,4.1,3.1,4.1,10.2,23.5,,111,104,stevela01
428,Isaiah Stewart,PF,22,DET,25,25,758,6.0,13.1,.455,2.1,5.7,.367,3.9,7.5,.521,2.1,2.6,.786,2.8,7.9,10.8,2.2,0.4,0.9,2.7,4.2,16.1,,106,121,stewais01
429,Julian Strawther,SF,21,DEN,26,0,365,7.7,19.8,.390,4.3,12.6,.344,3.4,7.2,.472,1.8,2.4,.722,0.1,5.1,5.3,4.2,1.9,0.7,1.1,5.1,21.5,,109,114,strawju01
430,Max Strus,SF,27,CLE,28,28,966,7.0,17.0,.411,4.1,11.2,.362,2.9,5.8,.504,1.7,2.1,.805,1.1,6.5,7.6,5.4,1.2,0.7,2.2,4.2,19.7,,112,115,strusma01
