Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
467,Ish Wainright,SF,29,POR,2,0,5,0.0,9.8,.000,0.0,9.8,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,9.8,0.0,0.0,9.8,0.0,,0,102,wainris01
468,Jabari Walker,SF,21,POR,26,0,457,7.6,16.4,.464,1.4,5.3,.265,6.2,11.2,.558,3.8,4.8,.778,4.4,9.1,13.5,1.8,2.0,1.1,2.4,6.1,20.4,,112,112,walkeja01
469,Jarace Walker,PF,20,IND,8,0,84,6.6,15.4,.429,1.6,6.0,.273,4.9,9.3,.529,1.6,1.6,1.000,0.5,6.0,6.6,6.0,2.2,1.6,1.6,6.0,16.5,,111,120,walkeja02
470,Lonnie Walker IV,SG,25,BRK,17,0,362,11.9,24.3,.489,5.9,12.8,.463,5.9,11.5,.518,3.9,5.1,.763,0.4,5.7,6.1,3.8,1.3,0.9,3.4,2.2,33.6,,116,118,walkelo01
471,Cason Wallace,SG,20,OKC,25,5,545,6.1,10.6,.579,2.4,4.7,.500,3.8,5.9,.642,1.1,1.3,.800,1.1,3.9,4.9,3.1,1.2,1.0,1.1,3.7,15.7,,134,115,wallaca01
472,P.J. Washington,PF,25,CHO,23,13,691,8.1,19.0,.424,3.2,9.7,.326,4.9,9.3,.526,2.2,3.0,.744,1.9,6.4,8.3,3.9,1.3,1.3,2.3,4.5,21.6,,107,122,washipj01
473,TyTy Washington Jr.,PG,22,MIL,2,0,6,7.8,23.5,.333,7.8,15.7,.500,0.0,7.8,.000,0.0,0.0,,0.0,7.8,7.8,0.0,7.8,0.0,15.7,0.0,23.5,,54,102,washity02
474,Yuta Watanabe,SF,29,PHO,19,0,328,4.2,12.0,.350,3.5,9.9,.348,0.8,2.1,.357,1.4,2.0,.692,1.5,4.4,5.9,1.5,1.1,1.1,2.1,4.4,13.2,,99,118,watanyu01
475,Lindy Waters III,SG,26,OKC,9,0,70,6.1,15.0,.409,5.5,14.3,.381,0.7,0.7,1.000,0.0,0.0,,0.7,3.4,4.1,4.1,0.0,0.7,0.0,4.1,17.7,,129,119,waterli01
476,Trendon Watford,PF,23,BRK,20,0,280,9.2,17.6,.525,1.0,3.3,.316,8.2,14.3,.573,2.8,3.1,.889,3.3,8.7,12.0,6.6,1.6,1.2,3.7,6.6,22.3,,116,115,watfotr01
477,Peyton Watson,SF,21,DEN,27,0,452,6.9,13.3,.516,1.2,3.6,.333,5.7,9.7,.584,2.5,3.9,.639,1.9,5.6,7.4,3.2,1.6,2.7,1.7,4.8,17.5,,116,112,watsope01
478,Victor Wembanyama,PF,20,SAS,24,24,732,10.9,25.0,.436,2.2,7.7,.281,8.7,17.2,.506,5.2,6.6,.786,3.7,13.1,16.8,4.2,2.0,4.5,5.2,4.0,29.1,,97,109,wembavi01
479,Blake Wesley,SG,20,SAS,6,0,26,5.4,14.4,.375,0.0,1.8,.000,5.4,12.6,.429,1.8,3.6,.500,1.8,1.8,3.6,10.8,0.0,1.8,1.8,5.4,12.6,,102,124,weslebl01
480,Russell Westbrook,PG,35,LAC,27,10,650,9.2,20.0,.459,1.3,4.7,.270,7.9,15.3,.517,3.0,5.0,.606,3.2,9.5,12.6,9.5,2.3,1.0,4.6,4.2,22.7,,106,110,westbru01
481,Coby White,PG,23,CHI,29,29,1005,8.9,19.8,.449,4.6,10.8,.426,4.3,9.0,.478,2.9,3.5,.831,0.7,5.2,5.9,7.1,1.2,0.3,2.6,3.7,25.3,,119,119,whiteco01
482,Derrick White,SG,29,BOS,24,24,782,8.2,16.7,.492,4.2,9.8,.429,4.0,6.9,.582,4.1,4.8,.868,1.2,4.8,6.0,7.7,1.9,1.8,2.6,3.2,24.8,,132,111,whitede01
483,Cam Whitmore,SF,19,HOU,5,0,32,10.8,23.1,.467,1.5,7.7,.200,9.2,15.4,.600,7.7,15.4,.500,1.5,10.8,12.3,3.1,1.5,0.0,3.1,3.1,30.8,,100,109,whitmca01
484,Aaron Wiggins,SG,25,OKC,23,0,272,7.7,12.8,.603,1.9,4.0,.478,5.8,8.8,.660,3.0,4.0,.739,2.5,5.6,8.1,2.8,1.8,0.2,2.1,3.9,20.3,,130,113,wiggiaa01
485,Andrew Wiggins,SF,28,GSW,25,21,664,8.6,20.5,.420,1.7,5.8,.300,6.8,14.6,.468,3.5,5.2,.667,3.6,4.7,8.3,2.0,0.6,0.7,3.1,4.3,22.4,,100,119,wiggian01
486,Lindell Wigginton,PG,25,MIL,3,0,8,11.8,29.4,.400,0.0,11.8,.000,11.8,17.7,.667,11.8,11.8,1.000,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,35.3,,90,125,wiggili01
487,Grant Williams,PF,25,DAL,24,24,708,5.4,12.6,.425,3.5,8.7,.395,1.9,3.9,.491,1.4,2.2,.656,2.0,4.3,6.3,2.8,0.5,0.9,1.4,4.7,15.6,,118,121,willigr01
488,Jalen Williams,PF,22,OKC,22,22,708,9.6,19.3,.495,1.5,4.2,.355,8.1,15.2,.533,4.8,5.5,.877,0.5,5.4,5.9,5.5,1.3,0.5,2.6,4.1,25.4,,115,114,willija06
489,Jaylin Williams,C,21,OKC,20,0,262,5.3,13.5,.392,3.1,8.4,.370,2.2,5.1,.429,2.4,2.5,.929,2.2,10.4,12.6,4.9,1.3,0.4,1.8,6.4,16.0,,116,110,willija07
490,Jeenathan Williams,SG,24,HOU,4,0,22,13.4,24.6,.545,0.0,4.5,.000,13.4,20.2,.667,2.2,4.5,.500,0.0,0.0,0.0,4.5,2.2,0.0,0.0,4.5,29.1,,116,114,willije02
491,Kenrich Williams,PF,29,OKC,15,0,219,6.3,12.9,.492,2.6,6.1,.429,3.7,6.8,.548,0.7,2.2,.300,2.4,6.8,9.2,4.8,1.1,0.4,0.9,5.9,15.9,,125,114,willike04
492,Mark Williams,C,22,CHO,19,19,508,9.4,14.4,.649,0.0,0.0,,9.4,14.4,.649,4.4,6.1,.719,7.3,10.3,17.6,2.1,1.5,1.9,1.6,4.8,23.1,,139,119,willima07
493,Patrick Williams,PF,22,CHI,29,19,788,6.6,14.8,.442,2.5,6.0,.411,4.1,8.8,.464,2.3,3.1,.735,2.2,5.6,7.8,2.6,1.7,1.7,2.0,3.4,17.9,,110,116,willipa01
494,Robert Williams,C,26,POR,6,0,119,7.0,10.7,.654,0.0,0.0,,7.0,10.7,.654,2.9,3.7,.778,4.5,11.1,15.6,2.1,2.9,2.9,2.9,7.0,16.9,,123,107,williro04
495,Vince Williams Jr.,SG,23,MEM,18,4,335,4.5,10.3,.437,3.2,8.1,.393,1.3,2.2,.600,2.7,3.3,.826,2.0,9.2,11.3,3.5,0.9,1.4,1.9,5.8,14.9,,122,113,willivi01
496,Ziaire Williams,SF,22,MEM,24,8,480,6.6,16.8,.389,2.6,8.5,.310,3.9,8.4,.470,2.9,3.2,.906,1.5,8.3,9.8,3.4,1.0,0.5,3.1,4.3,18.7,,98,114,willizi02
497,Zion Williamson,PF,23,NOP,23,23,701,13.8,23.8,.578,0.1,0.5,.286,13.6,23.3,.584,7.1,10.8,.652,3.1,6.0,9.1,7.2,1.6,0.5,3.9,4.1,34.7,,119,115,willizi01
498,Jalen Wilson,PF,23,BRK,7,0,52,5.6,8.4,.667,1.9,2.8,.667,3.8,5.6,.667,3.8,3.8,1.000,2.8,4.7,7.5,3.8,0.9,0.9,1.9,2.8,16.9,,153,120,wilsoja03
499,Dylan Windler,SF,27,NYK,3,0,7,7.1,14.1,.500,7.1,14.1,.500,0.0,0.0,,0.0,0.0,,0.0,7.1,7.1,7.1,0.0,0.0,0.0,7.1,21.2,,169,119,windldy01
500,James Wiseman,C,22,DET,17,0,242,10.4,14.6,.716,0.0,0.2,.000,10.4,14.4,.726,3.0,4.7,.625,4.5,9.5,14.0,2.6,0.8,2.0,3.2,7.7,23.8,,125,118,wisemja01
501,Christian Wood,PF,28,LAL,25,1,486,6.2,13.4,.463,1.7,6.0,.279,4.5,7.4,.613,3.3,5.4,.618,2.4,11.7,14.0,2.3,0.5,1.5,2.9,3.9,17.4,,102,112,woodch01
502,Delon Wright,PG,31,WAS,8,0,141,3.6,9.8,.367,1.3,3.6,.364,2.3,6.2,.368,4.6,5.2,.875,1.0,5.6,6.5,11.4,4.3,0.3,1.3,2.0,13.1,,131,117,wrighde01
503,Thaddeus Young,PF,35,TOR,4,0,13,7.5,15.0,.500,0.0,0.0,,7.5,15.0,.500,0.0,7.5,.000,3.8,7.5,11.3,11.3,0.0,0.0,3.8,0.0,15.0,,95,120,youngth01
504,Trae Young,PG,25,ATL,25,25,900,11.5,26.5,.434,4.6,11.8,.387,6.9,14.7,.471,9.5,10.9,.870,0.7,3.2,3.9,14.6,1.7,0.2,5.5,2.4,37.1,,122,123,youngtr01
505,Omer Yurtseven,C,25,UTA,18,6,227,7.5,14.5,.515,0.6,2.8,.231,6.8,11.7,.582,1.3,1.7,.750,6.4,12.2,18.6,2.8,0.9,2.1,4.1,6.6,16.9,,105,116,yurtsom01
506,Cody Zeller,C,31,NOP,22,0,221,2.8,8.5,.333,0.0,0.2,.000,2.8,8.3,.342,3.3,5.6,.577,5.9,8.9,14.8,5.6,0.9,0.7,1.7,6.3,8.9,,112,115,zelleco01
507,Ivica Zubac,C,26,LAC,27,27,724,9.5,15.2,.627,0.0,0.0,,9.5,15.2,.627,3.2,5.1,.618,5.6,11.4,17.0,1.9,0.4,2.7,2.1,5.1,22.2,,127,111,zubaciv01
