Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
28,Scottie Barnes,SG,22,TOR,27,944,21.7,.586,.326,.263,8.1,20.9,14.4,25.0,2.1,3.2,12.5,24.4,,1.7,1.4,3.1,.156,,4.3,2.1,6.4,2.0,barnesc01
29,RJ Barrett,SG,23,NYK,22,643,15.5,.545,.331,.328,2.6,12.7,7.6,13.2,0.8,1.2,8.8,26.9,,0.7,0.5,1.2,.087,,0.2,-1.8,-1.6,0.1,barrerj01
30,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,11.8,28.6,20.0,14.3,1.8,7.4,26.0,11.7,,0.3,0.3,0.6,.144,,-2.1,3.0,0.9,0.2,bassech01
31,Emoni Bates,SF,20,CLE,7,52,4.5,.378,.800,.133,2.2,16.8,9.6,4.9,0.9,1.7,5.9,14.0,,-0.1,0.1,0.0,-0.018,,-5.0,-1.2,-6.1,-0.1,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,387,11.0,.491,.388,.311,6.2,13.4,10.0,6.7,1.5,3.3,4.9,13.7,,0.2,0.4,0.6,.074,,-2.1,-0.5,-2.6,-0.1,bateske01
33,Nicolas Batum,PF,35,TOT,20,478,11.8,.717,.757,.149,4.2,12.4,8.4,11.1,1.2,2.4,10.2,7.8,,0.9,0.6,1.5,.153,,0.5,1.1,1.5,0.4,batumni01
33,Nicolas Batum,PF,35,LAC,3,54,9.8,.500,.875,.000,0.0,13.8,7.2,11.2,2.7,6.7,11.1,7.2,,0.0,0.1,0.1,.105,,-1.8,4.1,2.3,0.1,batumni01
33,Nicolas Batum,PF,35,PHI,17,424,12.1,.741,.742,.167,4.8,12.3,8.6,11.1,1.0,1.9,10.1,7.8,,0.9,0.5,1.4,.159,,0.7,0.7,1.4,0.4,batumni01
34,Bradley Beal,SG,30,PHO,6,151,13.3,.553,.304,.348,2.4,12.2,7.5,20.0,1.3,1.1,15.0,26.7,,0.0,0.1,0.1,.030,,-1.2,-1.3,-2.4,0.0,bealbr01
35,Malik Beasley,SG,27,MIL,25,755,12.3,.647,.721,.054,2.8,12.7,8.0,6.2,1.5,0.4,6.6,13.6,,1.1,0.6,1.7,.109,,0.3,-0.3,0.0,0.4,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,375,8.3,.586,.429,.198,4.3,12.0,8.3,5.9,0.9,0.9,14.7,13.0,,0.1,0.2,0.4,.046,,-2.6,-0.8,-3.4,-0.1,beaucma01
37,Jules Bernard,SG,24,WAS,2,10,-7.1,.200,.600,.000,10.8,0.0,5.4,12.3,0.0,0.0,16.7,25.2,,-0.1,0.0,-0.1,-0.389,,-11.7,-7.2,-18.9,0.0,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,71,16.7,.684,.947,.789,1.6,10.2,6.2,12.3,1.3,2.7,3.8,16.1,,0.3,0.1,0.3,.235,,2.1,0.9,3.0,0.1,bertada01
39,Patrick Beverley,PG,35,PHI,27,465,10.4,.523,.514,.243,4.8,12.8,8.9,16.7,1.5,1.3,12.6,12.3,,0.4,0.6,1.0,.104,,-1.8,0.6,-1.1,0.1,beverpa01
40,Saddiq Bey,SF,24,ATL,27,855,12.9,.579,.502,.209,7.5,14.4,10.8,5.2,1.6,0.4,9.4,15.7,,1.0,0.3,1.3,.074,,0.1,-1.5,-1.4,0.1,beysa01
41,Goga Bitadze,C,24,ORL,24,506,18.3,.632,.042,.403,12.3,21.7,17.0,11.6,1.5,7.3,12.5,13.4,,1.0,1.1,2.1,.199,,0.1,3.0,3.1,0.7,bitadgo01
42,Onuralp Bitim,SG,24,CHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.007,,-7.1,-3.4,-10.5,0.0,bitimon01
43,Bismack Biyombo,C,31,MEM,19,493,11.2,.586,.000,.425,9.2,20.4,14.6,10.7,0.7,4.5,20.1,11.2,,0.3,0.7,0.9,.090,,-4.1,1.3,-2.8,-0.1,biyombi01
44,Anthony Black,PG,20,ORL,24,469,8.1,.568,.365,.292,3.9,10.7,7.3,11.6,0.9,1.6,16.2,11.7,,0.2,0.6,0.7,.076,,-3.7,0.7,-2.9,-0.1,blackan01
45,Leaky Black,SF,24,CHO,7,40,17.0,.688,.250,.000,5.4,14.5,9.7,13.4,2.4,6.7,11.1,9.7,,0.1,0.0,0.1,.131,,1.0,2.9,3.9,0.1,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,701,18.0,.618,.614,.118,1.5,12.1,6.6,13.6,2.4,1.0,7.5,22.5,,1.5,0.4,1.9,.130,,3.1,0.2,3.2,0.9,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,251,17.3,.634,.504,.316,1.7,6.3,4.0,12.8,1.7,0.0,10.1,24.8,,0.4,0.1,0.4,.086,,3.0,-1.9,1.1,0.2,bogdabo02
48,Bol Bol,PF,24,PHO,6,15,4.4,.667,.333,.000,0.0,21.6,11.3,0.0,0.0,5.7,40.0,14.4,,0.0,0.0,0.0,-0.086,,-8.4,-1.1,-9.5,0.0,bolbo01
49,Marques Bolden,C,25,MIL,2,3,3.2,,,,0.0,69.6,36.6,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.106,,-7.9,2.3,-5.5,0.0,boldema01
50,Devin Booker,SG,27,PHO,18,643,23.1,.602,.265,.400,3.0,14.3,8.9,40.2,0.9,1.1,11.6,31.7,,2.0,0.5,2.5,.184,,4.5,-1.1,3.3,0.9,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,11,19.3,.643,.429,.000,0.0,19.4,10.1,34.8,0.0,0.0,12.5,31.4,,0.0,0.0,0.0,.136,,-3.3,-1.1,-4.4,0.0,bostobr01
52,Chris Boucher,PF,31,TOR,25,354,14.7,.569,.392,.392,9.0,20.2,14.5,3.1,1.1,3.9,7.9,18.3,,0.4,0.4,0.8,.115,,-1.8,-0.6,-2.4,0.0,bouchch01
53,James Bouknight,SG,23,CHO,3,18,26.6,.773,.909,.000,6.0,19.3,12.4,0.0,0.0,0.0,8.3,28.6,,0.0,0.0,0.0,.113,,13.4,-1.2,12.2,0.1,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,57,-4.6,.238,.381,.000,3.7,16.8,9.9,19.4,0.0,0.0,27.6,21.5,,-0.4,0.0,-0.3,-0.287,,-13.1,-4.9,-18.0,-0.2,bouyeja01
