player_id,league_id,season,game_type,games_played,games_started,minutes,total_seconds,fgm,fga,fg_pct,2fgm,2fga,2fg_pct,3fgm,3fga,3fg_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,techs,plusminus,pts,pfd
2132,NBA,2022,regular,38,0,213.945,12836.7,32,72,0.444,25,45,0.555555556,7,27,0,14,21,0.667,12,25,37,22,8,11,5,7,24,0,12,85,19
2133,NBA,2022,regular,52,6,765.8116667,45948.7,115,312,0.369,52,121,0.429752066,63,191,0,35,44,0.795,31,55,86,42,39,15,8,16,62,0,-205,328,36
2134,NBA,2022,regular,1,0,1.033333333,62,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
2136,NBA,2022,regular,75,63,2073.531667,124411.9,284,644,0.441,192,381,0.503937008,92,263,0,49,62,0.79,35,164,199,341,126,70,13,25,179,0,-263,709,117
2137,NBA,2022,regular,82,5,1767.22,106033.2,296,660,0.448,237,488,0.485655738,59,172,0,109,145,0.752,195,301,496,88,101,96,47,67,189,0,-157,760,110
2138,NBA,2022,regular,16,0,70.86333333,4251.8,7,16,0.438,1,4,0.25,6,12,0,4,7,0.571,4,4,8,6,1,5,1,0,10,0,-21,24,4
2142,NBA,2022,regular,74,73,2304.316667,138259,409,983,0.416,289,633,0.456556082,120,350,0,266,356,0.747,73,215,288,387,237,61,17,87,242,0,-642,1204,318
2143,NBA,2022,regular,4,0,18.11666667,1087,2,5,0.4,0,1,0,2,4,0,4,6,0.667,1,2,3,2,5,1,0,0,0,0,6,10,3
2144,NBA,2022,regular,18,0,232.25,13935,35,104,0.337,20,41,0.487804878,15,63,0,2,4,0.5,8,31,39,8,3,4,3,2,13,0,-87,87,3
2145,NBA,2022,regular,6,0,31.51666667,1891,4,12,0.333,3,9,0.333333333,1,3,0,5,9,0.556,2,2,4,2,2,2,1,2,3,0,-1,14,6
