,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
125,Keon Ellis,SG,24,SAC,19,262,.446,23.5,,.138,.062,.062,.015,.000,.862,,.889,1.000,.750,1.000,,.375,,.625,.952,,.031,2,,.196,.182,,1,0,elliske01
126,Joel Embiid,C,29,PHI,24,819,.541,11.5,,.851,.243,.220,.233,.155,.149,,.578,.748,.461,.533,.543,.333,,.529,.808,,.033,14,,.026,.000,,1,0,embiijo01
127,Drew Eubanks,C,26,PHO,26,444,.607,4.9,,.982,.455,.438,.054,.036,.018,,.600,.745,.531,.333,.000,1.000,,.788,1.000,,.304,26,,1.000,1.000,,0,0,eubandr01
128,Dante Exum,PG,28,DAL,24,418,.570,11.5,,.669,.366,.225,.049,.028,.331,,.642,.788,.469,.571,.250,.426,,.541,1.000,,.070,10,,.362,.412,,2,0,exumda01
129,Bruno Fernando,C,25,ATL,7,33,.500,7.2,,.938,.375,.313,.188,.063,.063,,.533,.667,.800,.000,.000,.000,,.500,,,.125,2,,.000,,,0,0,fernabr01
130,Dorian Finney-Smith,PF,30,BRK,25,733,.464,17.6,,.333,.237,.077,.010,.010,.667,,.522,.633,.188,1.000,.000,.435,,.694,.967,,.068,11,,.355,.449,,1,0,finnedo01
131,Malachi Flynn,PG,25,TOR,27,440,.409,17.1,,.433,.181,.150,.071,.031,.567,,.491,.522,.474,.556,.250,.347,,.444,.920,,.000,0,,.208,.400,,0,0,flynnma01
132,Simone Fontecchio,SF,28,UTA,26,540,.438,18.2,,.324,.159,.131,.023,.011,.676,,.544,.607,.478,.250,1.000,.387,,.677,.978,,.040,4,,.471,.393,,0,0,fontesi01
133,Jordan Ford,PG,25,SAC,6,22,.571,18.2,,.571,.143,.000,.286,.143,.429,,.500,1.000,,.500,.000,.667,,.000,.500,,.000,0,,.333,1.000,,0,0,fordjo01
134,Trent Forrest,SG,25,ATL,7,61,.200,6.3,,.933,.267,.600,.067,.000,.067,,.214,.500,.111,.000,,.000,,.000,,,.000,0,,1.000,.000,,0,0,forretr01
135,Evan Fournier,SG,31,NYK,1,16,.167,22.1,,.333,.000,.000,.333,.000,.667,,.500,,,.500,,.000,,1.000,,,.000,0,,.250,.000,,0,0,fournev01
136,De'Aaron Fox,PG,26,SAC,20,699,.480,14.6,,.621,.136,.285,.159,.041,.379,,.530,.661,.524,.478,.333,.400,,.154,.545,,.011,4,,.103,.471,,1,0,foxde01
137,Alex Fudge,SF,20,LAL,4,14,.167,15.9,,.667,.000,.333,.167,.167,.333,,.250,,.000,1.000,.000,.000,,.000,,,.000,0,,.500,.000,,0,0,fudgeal01
138,Markelle Fultz,PG,25,ORL,5,143,.482,7.9,,.946,.357,.268,.214,.107,.054,,.509,.750,.467,.333,.167,.000,,.185,,,.071,3,,1.000,.000,,0,0,fultzma01
139,Daniel Gafford,C,25,WAS,23,583,.692,3.1,,1.000,.623,.336,.034,.007,.000,,.692,.747,.633,.400,.000,,,.762,,,.363,49,,,,,0,0,gaffoda01
140,Danilo Gallinari,PF,35,WAS,23,351,.446,18.1,,.521,.124,.116,.157,.124,.479,,.571,.867,.429,.579,.400,.310,,.472,.833,,.050,5,,.034,.500,,0,0,gallida01
141,Darius Garland,PG,24,CLE,20,680,.470,13.8,,.676,.193,.274,.128,.081,.324,,.530,.629,.500,.439,.538,.346,,.287,.667,,.000,0,,.163,.471,,0,0,garlada01
142,Luka Garza,C,25,MIN,6,18,.333,10.7,,.750,.167,.583,.000,.000,.250,,.444,.500,.429,,,.000,,.250,,,.000,0,,.000,,,0,0,garzalu01
143,Kaiser Gates,SF,27,NOP,1,7,.000,13.7,,.500,.500,.000,.000,.000,.500,,.000,.000,,,,.000,,,,,.000,0,,.000,,,0,0,gateska01
144,Keyonte George,PG,20,UTA,24,618,.361,17.9,,.470,.074,.239,.087,.070,.530,,.407,.588,.382,.400,.313,.320,,.477,.692,,.013,3,,.107,.231,,1,0,georgke01
145,Paul George,PF,33,LAC,25,871,.451,16.9,,.537,.150,.154,.127,.107,.463,,.502,.697,.471,.482,.298,.392,,.445,.663,,.034,9,,.132,.444,,1,0,georgpa01
146,Taj Gibson,PF,38,NYK,4,27,.400,13.4,,.600,.400,.000,.000,.200,.400,,.667,.500,,,1.000,.000,,.500,,,.000,0,,1.000,.000,,0,0,gibsota01
147,Josh Giddey,SG,21,OKC,25,641,.430,9.3,,.780,.320,.388,.055,.017,.220,,.463,.602,.336,.438,.800,.313,,.495,.950,,.003,1,,.375,.417,,0,0,giddejo01
148,Harry Giles,C,25,BRK,7,42,.583,9.0,,.792,.458,.208,.125,.000,.208,,.684,.818,.600,.333,,.200,,.769,1.000,,.250,5,,.000,,,0,0,gilesha01
149,Shai Gilgeous-Alexander,PG,25,OKC,24,832,.538,10.8,,.844,.259,.249,.259,.077,.156,,.578,.688,.528,.523,.553,.325,,.232,.320,,.030,14,,.052,.250,,0,0,gilgesh01
150,Anthony Gill,PF,31,WAS,17,115,.455,7.9,,.788,.394,.364,.030,.000,.212,,.577,.769,.333,1.000,,.000,,.667,,,.030,1,,.571,.000,,0,0,gillan01
151,Collin Gillespie,PG,24,DEN,11,86,.400,18.5,,.400,.100,.200,.000,.100,.600,,.625,.500,.750,,.500,.250,,.400,.667,,.000,0,,.083,.000,,0,0,gilleco01
152,Jacob Gilyard,PG,25,MEM,19,299,.414,23.2,,.155,.052,.017,.000,.086,.845,,.333,.333,.000,,.400,.429,,.000,.857,,.000,0,,.306,.400,,0,0,gilyaja01
153,Rudy Gobert,C,31,MIN,26,828,.610,2.6,,1.000,.750,.215,.015,.020,.000,,.610,.680,.419,.333,.250,,,.697,,,.455,80,,,,,0,0,goberru01
154,Jordan Goodwin,PG,25,PHO,27,495,.382,15.2,,.545,.218,.182,.097,.048,.455,,.444,.639,.300,.313,.375,.307,,.425,.913,,.006,0,,.267,.350,,0,0,goodwjo01
155,Aaron Gordon,PF,28,DEN,25,800,.515,7.5,,.821,.549,.183,.067,.022,.179,,.573,.735,.265,.167,.333,.250,,.587,.750,,.220,55,,.313,.200,,1,0,gordoaa01
156,Eric Gordon,SG,35,PHO,23,732,.458,17.5,,.416,.187,.183,.038,.008,.584,,.550,.755,.354,.500,.500,.392,,.583,.933,,.000,0,,.085,.538,,1,0,gordoer01
157,Devonte' Graham,PG,28,SAS,5,52,.333,20.7,,.333,.083,.000,.250,.000,.667,,.500,1.000,,.333,,.250,,.500,.500,,.000,0,,.125,.000,,0,0,grahade01
158,Jerami Grant,PF,29,POR,22,779,.457,13.9,,.634,.188,.261,.089,.097,.366,,.483,.629,.443,.364,.417,.412,,.368,.982,,.016,4,,.265,.417,,0,0,grantje01
159,A.J. Green,SG,24,MIL,19,147,.438,23.8,,.125,.000,.042,.042,.042,.875,,.500,,.500,.500,.500,.429,,1.000,.944,,.000,0,,.310,.615,,0,0,greenaj01
160,Danny Green,SG,36,PHI,2,18,.000,22.5,,.500,.000,.000,.000,.500,.500,,.000,,,,.000,.000,,,,,.000,0,,1.000,.000,,0,0,greenda02
161,Draymond Green,PF,33,GSW,15,377,.490,12.8,,.596,.327,.202,.058,.010,.404,,.532,.676,.429,.000,1.000,.429,,.788,1.000,,.019,2,,.333,.500,,0,0,greendr01
162,Jalen Green,SG,21,HOU,25,775,.401,15.3,,.588,.193,.204,.072,.119,.412,,.451,.671,.338,.308,.372,.329,,.427,.653,,.039,12,,.134,.400,,1,0,greenja05
163,Jeff Green,PF,37,HOU,24,377,.570,10.9,,.710,.301,.290,.075,.043,.290,,.667,.714,.630,.857,.250,.333,,.705,.889,,.097,7,,.519,.286,,0,0,greenje02
164,Josh Green,SG,23,DAL,18,454,.422,15.8,,.422,.220,.174,.018,.009,.578,,.500,.708,.211,.500,1.000,.365,,.783,.870,,.046,5,,.540,.412,,0,0,greenjo02
165,AJ Griffin,SF,20,ATL,12,110,.294,21.5,,.265,.029,.118,.059,.059,.735,,.222,1.000,.250,.000,.000,.320,,.500,.875,,.029,1,,.240,.333,,0,0,griffaj01
166,Quentin Grimes,SG,23,NYK,25,541,.381,20.3,,.226,.148,.039,.006,.032,.774,,.429,.478,.500,.000,.200,.367,,.867,.977,,.013,0,,.375,.400,,0,0,grimequ01
167,Mouhamed Gueye,PF,21,ATL,2,4,.000,22.6,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0,gueyemo02
168,Rui Hachimura,PF,25,LAL,19,442,.482,12.4,,.676,.324,.165,.094,.088,.324,,.530,.764,.214,.438,.400,.382,,.787,1.000,,.094,16,,.236,.308,,0,0,hachiru01
169,Tyrese Haliburton,PG,23,IND,23,769,.504,16.9,,.514,.163,.191,.102,.059,.486,,.579,.625,.600,.550,.435,.424,,.265,.383,,.020,8,,.058,.545,,0,0,halibty01
170,R.J. Hampton,PG,22,MIA,2,11,.500,13.7,,.500,.500,.000,.000,.000,.500,,.000,.000,,,,1.000,,,1.000,,.000,0,,.000,,,0,0,hamptrj01
171,Tim Hardaway Jr.,SF,31,DAL,24,690,.409,20.2,,.354,.081,.089,.098,.086,.646,,.496,.714,.419,.441,.433,.362,,.689,.864,,.023,7,,.223,.360,,1,0,hardati02
172,James Harden,SG,34,LAC,22,741,.474,18.0,,.427,.151,.151,.099,.026,.573,,.535,.800,.343,.478,.333,.429,,.170,.491,,.004,1,,.105,.500,,0,0,hardeja01
173,Jaden Hardy,SG,21,DAL,23,303,.392,16.0,,.534,.223,.101,.135,.074,.466,,.405,.545,.200,.550,.000,.377,,.469,.808,,.034,3,,.319,.318,,1,0,hardyja02
174,Ron Harper Jr.,PF,23,TOR,1,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,harpero02
175,Gary Harris,SG,29,ORL,21,454,.421,20.2,,.281,.123,.105,.035,.018,.719,,.656,.786,.583,.500,.500,.329,,.714,.963,,.035,4,,.341,.321,,1,0,harriga01
176,Joe Harris,SG,32,DET,11,132,.323,20.1,,.226,.129,.097,.000,.000,.774,,.429,.500,.333,,,.292,,1.000,1.000,,.000,0,,.458,.455,,0,0,harrijo01
177,Tobias Harris,PF,31,PHI,27,910,.513,10.6,,.750,.332,.253,.123,.041,.250,,.570,.695,.425,.590,.385,.342,,.496,.963,,.076,22,,.253,.350,,0,0,harrito02
178,Shaquille Harrison,SG,30,MEM,3,6,.500,1.1,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,1.000,,,.000,0,,,,,0,0,harrish01
179,Josh Hart,SF,28,NYK,27,748,.461,14.2,,.562,.270,.135,.112,.045,.438,,.540,.729,.375,.400,.250,.359,,.741,.893,,.022,4,,.385,.333,,0,0,hartjo01
180,Isaiah Hartenstein,C,25,NYK,27,555,.589,3.3,,.972,.673,.252,.047,.000,.028,,.596,.708,.407,.000,,.333,,.565,1.000,,.243,24,,.000,,,0,0,harteis01
181,Sam Hauser,SF,26,BOS,27,620,.462,23.1,,.137,.082,.044,.005,.005,.863,,.640,.667,.500,1.000,1.000,.433,,.625,.971,,.027,5,,.268,.524,,1,0,hausesa01
182,Jordan Hawkins,SG,21,NOP,26,632,.381,20.3,,.344,.074,.082,.061,.127,.656,,.429,.611,.400,.333,.387,.356,,.722,1.000,,.029,5,,.300,.458,,1,0,hawkijo01
183,Jaxson Hayes,C,23,LAL,25,271,.667,4.3,,.917,.729,.188,.000,.000,.083,,.727,.771,.556,,,.000,,.906,,,.417,18,,.250,.000,,0,0,hayesja02
184,Killian Hayes,PG,22,DET,25,660,.425,15.1,,.724,.061,.192,.360,.112,.276,,.471,.615,.537,.429,.417,.305,,.493,.889,,.019,4,,.288,.471,,0,0,hayeski01
185,Gordon Hayward,SF,33,CHO,23,743,.468,12.4,,.791,.206,.248,.202,.135,.209,,.493,.724,.429,.474,.289,.373,,.555,.955,,.050,13,,.271,.438,,0,0,haywago01
186,Scoot Henderson,PG,19,POR,17,447,.373,14.2,,.648,.259,.161,.130,.098,.352,,.448,.540,.419,.400,.316,.235,,.214,.563,,.036,6,,.147,.300,,1,0,hendesc01
187,Taylor Hendricks,PF,20,UTA,9,156,.383,16.1,,.404,.213,.170,.000,.021,.596,,.474,.700,.250,,.000,.321,,.778,1.000,,.128,5,,.464,.385,,0,0,hendrita01
188,Tyler Herro,SG,24,MIA,10,341,.471,16.1,,.615,.123,.176,.171,.144,.385,,.504,.522,.455,.625,.407,.417,,.345,.700,,.016,2,,.083,.500,,0,0,herroty01
189,Buddy Hield,SF,31,IND,26,668,.450,19.0,,.320,.191,.086,.014,.029,.680,,.596,.679,.542,.000,.500,.381,,.698,.875,,.011,2,,.132,.440,,0,0,hieldbu01
190,Haywood Highsmith,PF,27,MIA,18,390,.427,17.6,,.385,.208,.115,.031,.031,.615,,.568,.700,.364,.667,.333,.339,,.619,1.000,,.063,5,,.356,.429,,0,0,highsha01
191,Nate Hinton,SG,24,HOU,4,16,.500,17.2,,.500,.167,.167,.000,.167,.500,,.000,.000,.000,,.000,1.000,,,1.000,,.000,0,,.000,,,0,0,hintona01
192,D'Moi Hodge,SG,25,LAL,7,41,.333,21.8,,.200,.133,.000,.000,.067,.800,,.667,.500,,,1.000,.250,,1.000,1.000,,.000,0,,.250,.333,,0,0,hodgedm01
193,Aaron Holiday,PG,27,HOU,23,420,.455,17.2,,.478,.142,.149,.127,.060,.522,,.484,.632,.450,.471,.250,.429,,.355,.933,,.000,0,,.286,.400,,0,0,holidaa01
194,Jrue Holiday,PG,33,BOS,25,863,.448,14.9,,.581,.193,.226,.093,.070,.419,,.484,.635,.459,.240,.474,.398,,.434,.689,,.015,3,,.186,.667,,1,0,holidjr01
195,Justin Holiday,SG,34,DEN,16,260,.527,19.5,,.309,.127,.055,.018,.109,.691,,.647,1.000,.333,1.000,.333,.474,,.818,1.000,,.109,6,,.605,.565,,0,0,holidju01
196,Richaun Holmes,C,30,DAL,14,140,.455,3.0,,1.000,.697,.303,.000,.000,.000,,.455,.565,.200,,,,,.733,,,.152,5,,,,,0,0,holmeri01
197,Chet Holmgren,C,21,OKC,25,743,.521,12.6,,.651,.301,.212,.099,.038,.349,,.600,.750,.516,.448,.273,.373,,.658,.974,,.116,32,,.078,.375,,1,0,holmgch01
198,Jalen Hood-Schifino,SG,20,LAL,5,52,.222,18.4,,.556,.111,.167,.000,.278,.444,,.300,.500,.000,,.400,.125,,1.000,1.000,,.000,0,,.125,.000,,0,0,hoodsja01
199,Al Horford,C,37,BOS,23,613,.472,17.3,,.380,.211,.113,.028,.028,.620,,.648,.767,.438,.750,.500,.364,,.571,1.000,,.049,6,,.409,.389,,0,0,horfoal01
200,Talen Horton-Tucker,PG,23,UTA,28,641,.416,13.6,,.619,.199,.301,.087,.031,.381,,.463,.667,.430,.200,.222,.339,,.256,.838,,.035,8,,.220,.417,,2,0,hortota01
201,Danuel House Jr.,SF,30,PHI,16,187,.438,16.6,,.438,.313,.104,.000,.021,.563,,.476,.600,.200,,.000,.407,,.900,.909,,.042,2,,.444,.500,,2,0,houseda01
202,Caleb Houstan,SF,21,ORL,17,173,.417,23.8,,.083,.021,.042,.021,.000,.917,,.750,.000,1.000,1.000,,.386,,.667,.941,,.000,0,,.341,.400,,0,0,houstca01
203,Jett Howard,SF,20,ORL,8,34,.267,22.1,,.267,.067,.133,.000,.067,.733,,.500,.000,1.000,,.000,.182,,1.000,1.000,,.000,0,,.091,.000,,0,0,howarje01
204,Kevin Huerter,SG,25,SAC,25,637,.435,18.6,,.384,.110,.160,.093,.021,.616,,.549,.769,.553,.318,.400,.363,,.820,.943,,.013,2,,.185,.407,,0,0,huertke01
205,Jay Huff,C,25,DEN,2,2,1.000,1.6,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,.000,0,,,,,0,0,huffja01
206,De'Andre Hunter,SF,26,ATL,24,727,.460,15.3,,.570,.196,.151,.162,.060,.430,,.503,.654,.450,.442,.313,.404,,.658,.826,,.034,7,,.298,.324,,0,0,huntede01
207,Bones Hyland,PG,23,LAC,13,210,.406,17.9,,.458,.094,.219,.104,.042,.542,,.455,.444,.476,.500,.250,.365,,.400,.632,,.000,0,,.115,.667,,0,0,hylanbo01
208,Joe Ingles,SF,36,ORL,24,437,.404,18.3,,.372,.064,.277,.021,.011,.628,,.400,.667,.346,.000,1.000,.407,,.357,.958,,.000,0,,.169,.500,,0,0,inglejo01
209,Brandon Ingram,SF,26,NOP,25,839,.501,14.3,,.769,.137,.173,.272,.187,.231,,.553,.787,.519,.479,.518,.330,,.397,.794,,.034,15,,.155,.375,,1,0,ingrabr01
210,Kyrie Irving,SG,31,DAL,17,541,.471,14.4,,.639,.184,.226,.152,.077,.361,,.520,.667,.557,.426,.250,.384,,.379,.767,,.006,1,,.196,.545,,0,0,irvinky01
211,Jonathan Isaac,PF,26,ORL,19,259,.458,14.1,,.521,.323,.135,.031,.031,.479,,.620,.839,.385,.000,.000,.283,,.581,1.000,,.156,13,,.413,.421,,1,0,isaacjo01
212,Jaden Ivey,SG,21,DET,23,554,.450,12.8,,.659,.346,.199,.081,.033,.341,,.540,.685,.357,.471,.286,.278,,.493,.900,,.024,4,,.208,.333,,5,0,iveyja01
213,Andre Jackson Jr.,SG,22,MIL,21,221,.595,14.7,,.452,.286,.095,.071,.000,.548,,.737,.917,.250,.667,,.478,,.571,1.000,,.238,10,,.652,.467,,0,0,jacksan01
214,Gregory Jackson II,PF,19,MEM,4,19,.300,17.1,,.500,.300,.000,.100,.100,.500,,.200,.333,,.000,.000,.400,,1.000,1.000,,.100,1,,.200,1.000,,0,0,jacksgg01
215,Isaiah Jackson,C,22,IND,18,266,.674,3.6,,.977,.640,.291,.035,.012,.023,,.690,.800,.440,.667,1.000,.000,,.845,,,.302,26,,.000,,,0,0,jacksis01
216,Jaren Jackson Jr.,C,24,MEM,26,818,.447,12.1,,.683,.225,.374,.071,.014,.317,,.509,.589,.468,.500,.333,.313,,.469,.952,,.026,10,,.127,.235,,4,0,jacksja02
217,Reggie Jackson,PG,33,DEN,29,739,.494,14.8,,.615,.201,.239,.067,.108,.385,,.554,.667,.547,.476,.412,.397,,.430,.833,,.013,3,,.207,.520,,2,0,jacksre01
218,Trayce Jackson-Davis,PF,23,GSW,16,161,.595,1.9,,1.000,.762,.238,.000,.000,.000,,.595,.656,.400,,,,,.680,,,.262,11,,,,,0,0,jackstr02
219,LeBron James,PF,39,LAL,26,886,.540,12.4,,.674,.355,.183,.073,.064,.326,,.611,.789,.506,.212,.379,.392,,.476,.776,,.077,33,,.074,.364,,1,0,jamesle01
220,Jaime Jaquez Jr.,SF,22,MIA,28,791,.505,10.7,,.703,.330,.280,.079,.014,.297,,.561,.696,.487,.318,.250,.373,,.536,.968,,.061,14,,.494,.390,,0,0,jaqueja01
221,DaQuan Jeffries,SG,26,NYK,10,30,.417,14.9,,.583,.083,.250,.250,.000,.417,,.571,1.000,.667,.333,,.200,,1.000,1.000,,.000,0,,.600,.333,,0,0,jeffrda01
222,Ty Jerome,SG,26,CLE,2,15,.500,10.6,,.750,.250,.250,.250,.000,.250,,.667,.000,1.000,1.000,,.000,,.000,,,.000,0,,.000,,,0,0,jeromty01
223,Isaiah Joe,SG,24,OKC,25,509,.438,22.6,,.219,.051,.039,.073,.056,.781,,.487,.778,.429,.538,.200,.424,,.737,.966,,.028,4,,.209,.448,,1,0,joeis01
224,Cameron Johnson,PF,27,BRK,20,577,.453,16.9,,.470,.179,.137,.085,.068,.530,,.518,.714,.469,.300,.375,.395,,.579,.959,,.026,4,,.347,.558,,1,0,johnsca02
225,Jalen Johnson,SF,22,ATL,15,449,.594,10.4,,.720,.350,.280,.063,.028,.280,,.660,.760,.550,.444,1.000,.425,,.706,1.000,,.168,22,,.375,.467,,0,0,johnsja05
226,James Johnson,PF,36,IND,3,16,.500,11.9,,1.000,.000,.500,.500,.000,.000,,.500,,1.000,.000,,,,.000,,,.000,0,,,,,0,0,johnsja01
227,Keldon Johnson,SF,24,SAS,25,827,.473,13.3,,.595,.246,.266,.062,.021,.405,,.552,.687,.444,.524,.429,.358,,.486,.898,,.050,14,,.328,.311,,0,0,johnske04
228,Keyontae Johnson,SF,23,OKC,1,6,.000,8.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,johnske08
229,Nikola Jokić,C,28,DEN,28,938,.539,10.2,,.807,.228,.412,.116,.051,.193,,.592,.656,.595,.548,.370,.320,,.553,.788,,.007,3,,.039,.250,,1,0,jokicni01
230,Colby Jones,SG,21,SAC,11,75,.452,10.8,,.742,.226,.355,.161,.000,.258,,.565,.429,.545,.800,,.125,,.538,1.000,,.000,0,,.375,.000,,0,0,jonesco02
231,Damian Jones,C,28,CLE,11,54,.500,6.6,,1.000,.625,.125,.000,.250,.000,,.500,.600,.000,,.500,,,1.000,,,.250,2,,,,,0,0,jonesda03
232,Derrick Jones Jr.,SF,26,DAL,26,642,.480,15.2,,.424,.288,.111,.015,.010,.576,,.643,.684,.591,.667,.000,.360,,.741,1.000,,.152,24,,.596,.324,,0,0,jonesde02
233,Herbert Jones,SF,25,NOP,25,751,.477,12.8,,.578,.337,.196,.010,.035,.422,,.591,.776,.333,.500,.286,.321,,.529,.926,,.106,20,,.500,.286,,0,0,joneshe01
234,Tre Jones,PG,24,SAS,22,515,.453,12.0,,.693,.267,.247,.160,.020,.307,,.538,.800,.405,.333,.333,.261,,.393,.917,,.000,0,,.391,.167,,0,0,jonestr01
235,Tyus Jones,PG,27,WAS,26,711,.526,13.8,,.656,.154,.304,.162,.036,.344,,.599,.684,.547,.650,.444,.388,,.464,.727,,.000,0,,.224,.474,,0,0,jonesty01
236,DeAndre Jordan,C,35,DEN,11,153,.579,2.5,,1.000,.737,.237,.026,.000,.000,,.579,.643,.444,.000,,,,.682,,,.395,14,,,,,0,0,jordade01
237,Cory Joseph,PG,32,GSW,12,127,.290,21.3,,.355,.032,.161,.032,.129,.645,,.455,.000,.600,1.000,.250,.200,,.800,1.000,,.000,0,,.150,.000,,1,0,josepco01
238,Nikola Jović,PF,20,MIA,4,48,.333,18.0,,.417,.167,.083,.167,.000,.583,,.200,.500,.000,.000,,.429,,.000,.667,,.000,0,,.000,,,0,0,jovicni01
239,Johnny Juzang,SG,22,UTA,1,4,.000,24.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.500,.000,,0,0,juzanjo01
240,Luke Kennard,SG,27,MEM,8,172,.362,22.5,,.207,.052,.017,.103,.034,.793,,.333,.667,.000,.167,.500,.370,,1.000,.824,,.000,0,,.152,.143,,0,0,kennalu01
241,Walker Kessler,C,22,UTA,20,507,.580,4.2,,.906,.667,.232,.000,.007,.094,,.624,.717,.375,,.000,.154,,.705,1.000,,.290,39,,1.000,.154,,0,0,kesslwa01
242,Braxton Key,SF,26,DEN,6,15,.200,11.2,,.600,.600,.000,.000,.000,.400,,.333,.333,,,,.000,,1.000,,,.000,0,,.000,,,0,0,keybr01
243,Corey Kispert,SF,24,WAS,25,576,.452,18.7,,.356,.197,.135,.014,.010,.644,,.581,.683,.464,.333,.500,.381,,.651,.941,,.029,4,,.149,.500,,1,0,kispeco01
244,Maxi Kleber,C,32,DAL,5,90,.250,16.0,,.438,.250,.188,.000,.000,.563,,.143,.250,.000,,,.333,,1.000,1.000,,.063,1,,.000,,,0,0,klebima01
245,Kevin Knox,SF,24,DET,10,150,.479,16.1,,.458,.188,.188,.063,.021,.542,,.591,.667,.556,.333,1.000,.385,,.692,.900,,.104,4,,.308,.250,,0,0,knoxke01
246,John Konchar,SF,27,MEM,21,374,.353,16.8,,.353,.294,.044,.015,.000,.647,,.417,.400,.667,.000,,.318,,.600,1.000,,.000,0,,.409,.222,,0,0,konchjo01
247,Furkan Korkmaz,SG,26,PHI,19,130,.343,17.7,,.457,.200,.114,.057,.086,.543,,.438,.571,.500,.000,.333,.263,,.714,1.000,,.029,1,,.158,.667,,0,0,korkmfu01
248,Luke Kornet,C,28,BOS,17,220,.744,2.4,,1.000,.767,.209,.023,.000,.000,,.744,.818,.444,1.000,,,,.688,,,.302,12,,,,,0,0,kornelu01
249,Jonathan Kuminga,PF,21,GSW,26,548,.492,11.2,,.738,.263,.304,.129,.042,.263,,.554,.730,.493,.355,.500,.317,,.602,.950,,.133,27,,.302,.421,,0,0,kuminjo01
250,Kyle Kuzma,PF,28,WAS,26,808,.471,13.4,,.656,.221,.286,.101,.048,.344,,.528,.764,.451,.320,.333,.363,,.506,.774,,.042,20,,.158,.556,,1,0,kuzmaky01
251,Jock Landale,C,28,HOU,16,136,.357,11.9,,.643,.357,.214,.036,.036,.357,,.444,.400,.500,1.000,.000,.200,,.750,1.000,,.107,2,,.100,1.000,,0,0,landajo01
252,Jake LaRavia,PF,22,MEM,8,99,.344,18.1,,.375,.125,.188,.031,.031,.625,,.667,.500,.667,1.000,1.000,.150,,.500,1.000,,.031,1,,.250,.400,,0,0,laravja01
253,Zach LaVine,SG,28,CHI,18,635,.443,15.6,,.570,.215,.158,.064,.134,.430,,.524,.641,.447,.526,.425,.336,,.337,.465,,.044,11,,.148,.368,,0,0,lavinza01
254,A.J. Lawson,SG,23,DAL,10,68,.429,15.0,,.429,.286,.143,.000,.000,.571,,.667,.875,.250,,,.250,,.625,1.000,,.107,3,,.500,.125,,0,0,lawsoaj01
255,Saben Lee,PG,24,PHO,4,11,.571,8.3,,.857,.286,.571,.000,.000,.143,,.667,1.000,.500,,,.000,,.250,,,.143,1,,.000,,,0,0,leesa01
256,Alex Len,C,30,SAC,6,41,.750,6.2,,.875,.375,.500,.000,.000,.125,,.857,.667,1.000,,,.000,,.667,,,.500,3,,.000,,,0,0,lenal01
257,Kawhi Leonard,SF,32,LAC,27,932,.521,14.4,,.686,.137,.214,.254,.081,.314,,.564,.891,.510,.513,.316,.429,,.470,.683,,.066,29,,.170,.560,,0,0,leonaka01
258,Caris LeVert,SG,29,CLE,21,623,.417,14.0,,.597,.212,.240,.131,.014,.403,,.479,.600,.412,.432,.250,.325,,.333,.757,,.021,6,,.193,.409,,1,0,leverca01
259,Kira Lewis Jr.,PG,22,NOP,13,131,.319,12.5,,.638,.383,.170,.021,.064,.362,,.433,.611,.125,1.000,.000,.118,,.538,1.000,,.021,1,,.235,.000,,0,0,lewiski01
260,Maxwell Lewis,SF,21,LAL,12,53,.111,11.8,,.667,.333,.111,.111,.111,.333,,.000,.000,.000,.000,.000,.333,,,1.000,,.111,0,,.000,,,0,0,lewisma05
261,E.J. Liddell,PF,23,NOP,3,9,.250,19.9,,.250,.250,.000,.000,.000,.750,,1.000,1.000,,,,.000,,1.000,,,.250,1,,.000,,,0,0,liddeej01
262,Damian Lillard,PG,33,MIL,25,884,.441,16.8,,.497,.205,.166,.062,.064,.503,,.509,.674,.347,.481,.429,.374,,.200,.488,,.016,4,,.064,.286,,1,0,lillada01
263,Nassir Little,PF,23,PHO,20,324,.494,15.5,,.429,.299,.117,.013,.000,.571,,.667,.739,.556,.000,,.364,,.818,1.000,,.117,9,,.364,.313,,0,0,littlna01
264,Dereck Lively II,C,19,DAL,23,582,.734,2.5,,.984,.734,.242,.008,.000,.016,,.746,.830,.516,.000,,.000,,.809,,,.555,63,,1.000,.000,,0,0,livelde01
