,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
30,Charles Bassey,C,23,SAS,19,205,.725,5.0,,.975,.650,.100,.200,.025,.025,,.744,.846,.750,.500,.000,.000,,.793,,,.250,10,,.000,,,0,0,bassech01
31,Emoni Bates,SF,20,CLE,7,52,.267,23.7,,.200,.067,.000,.000,.133,.800,,.333,.000,,,.500,.250,,.000,1.000,,.000,0,,.167,.500,,0,0,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,387,.398,11.9,,.612,.320,.214,.078,.000,.388,,.492,.606,.364,.375,,.250,,.710,.900,,.107,10,,.575,.261,,0,0,bateske01
33,Nicolas Batum,PF,35,TOT,20,478,.541,19.8,,.243,.176,.027,.014,.027,.757,,.778,.769,1.000,1.000,.500,.464,,.643,1.000,,.041,3,,.464,.500,,0,0,batumni01
33,Nicolas Batum,PF,35,LAC,3,54,.375,22.0,,.125,.000,.125,.000,.000,.875,,1.000,,1.000,,,.286,,1.000,1.000,,.125,1,,.571,.500,,0,0,batumni01
33,Nicolas Batum,PF,35,PHI,17,424,.561,19.6,,.258,.197,.015,.015,.030,.742,,.765,.769,1.000,1.000,.500,.490,,.615,1.000,,.030,2,,.449,.500,,0,0,batumni01
34,Bradley Beal,SG,30,PHO,6,151,.449,14.0,,.696,.203,.203,.159,.130,.304,,.458,.500,.643,.182,.444,.429,,.636,1.000,,.014,1,,.286,.500,,0,0,bealbr01
35,Malik Beasley,SG,27,MIL,25,755,.482,20.4,,.279,.072,.131,.036,.041,.721,,.565,.688,.552,.500,.444,.450,,.600,.944,,.014,2,,.356,.544,,0,0,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,375,.484,14.5,,.571,.308,.099,.044,.121,.429,,.519,.643,.333,.500,.364,.436,,.519,.941,,.088,5,,.436,.471,,0,0,beaucma01
37,Jules Bernard,SG,24,WAS,2,10,.200,17.0,,.400,.400,.000,.000,.000,.600,,.500,.500,,,,.000,,.000,,,.000,0,,.000,,,0,0,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,71,.368,24.6,,.053,.000,.000,.053,.000,.947,,.000,,,.000,,.389,,,.857,,.000,0,,.444,.375,,0,0,bertada01
39,Patrick Beverley,PG,35,PHI,27,465,.421,16.4,,.486,.159,.234,.093,.000,.514,,.538,.647,.560,.300,,.309,,.393,.765,,.000,0,,.200,.364,,0,0,beverpa01
40,Saddiq Bey,SF,24,ATL,27,855,.462,14.4,,.498,.304,.143,.040,.011,.502,,.574,.675,.436,.273,.667,.350,,.423,1.000,,.070,18,,.460,.286,,1,0,beysa01
41,Goga Bitadze,C,24,ORL,24,506,.597,3.0,,.958,.739,.210,.000,.008,.042,,.614,.705,.320,,.000,.200,,.714,1.000,,.303,32,,.200,.000,,0,0,bitadgo01
42,Onuralp Bitim,SG,24,CHI,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bitimon01
43,Bismack Biyombo,C,31,MEM,19,493,.586,3.9,,1.000,.460,.529,.011,.000,.000,,.586,.725,.478,.000,,,,.745,,,.184,15,,,,,0,0,biyombi01
44,Anthony Black,PG,20,ORL,24,469,.500,11.8,,.635,.375,.167,.073,.021,.365,,.607,.722,.500,.429,.000,.314,,.757,1.000,,.146,12,,.600,.286,,0,0,blackan01
45,Leaky Black,SF,24,CHO,7,40,.625,7.3,,.750,.500,.250,.000,.000,.250,,.667,1.000,.000,,,.500,,.750,1.000,,.125,1,,1.000,.500,,0,0,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,701,.469,19.3,,.386,.112,.133,.083,.059,.614,,.557,.684,.556,.464,.450,.413,,.671,.837,,.012,4,,.168,.571,,1,0,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,251,.496,16.5,,.496,.137,.171,.162,.026,.504,,.569,.688,.550,.474,.667,.424,,.485,.800,,.000,0,,.271,.438,,0,0,bogdabo02
48,Bol Bol,PF,24,PHO,6,15,.667,11.1,,.667,.333,.333,.000,.000,.333,,1.000,1.000,1.000,,,.000,,1.000,,,.000,0,,1.000,.000,,0,0,bolbo01
49,Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,boldema01
50,Devin Booker,SG,27,PHO,18,643,.476,14.4,,.735,.158,.194,.214,.169,.265,,.510,.768,.391,.487,.433,.383,,.391,.500,,.020,4,,.053,.000,,0,0,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,11,.571,18.2,,.571,.000,.143,.286,.143,.429,,.750,,1.000,1.000,.000,.333,,.000,.000,,.000,0,,.000,,,0,0,bostobr01
52,Chris Boucher,PF,31,TOR,25,354,.450,11.6,,.608,.392,.183,.008,.025,.392,,.521,.681,.273,.000,.000,.340,,.658,1.000,,.067,6,,.511,.250,,0,0,bouchch01
53,James Bouknight,SG,23,CHO,3,18,.545,22.9,,.091,.091,.000,.000,.000,.909,,1.000,1.000,,,,.500,,.000,.400,,.000,0,,.200,.000,,0,0,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,57,.238,15.6,,.619,.238,.333,.000,.048,.381,,.385,.600,.143,,1.000,.000,,.400,,,.000,0,,.000,,,1,0,bouyeja01
55,Malaki Branham,SG,20,SAS,26,578,.444,15.4,,.606,.153,.176,.185,.093,.394,,.527,.788,.289,.625,.350,.318,,.594,.926,,.019,4,,.224,.263,,0,0,branhma01
56,Christian Braun,SG,22,DEN,29,587,.478,9.9,,.741,.328,.338,.030,.045,.259,,.510,.758,.338,.000,.333,.385,,.711,1.000,,.075,13,,.269,.286,,0,0,braunch01
57,Mikal Bridges,SF,27,BRK,27,938,.457,13.8,,.651,.204,.187,.182,.077,.349,,.500,.667,.424,.458,.343,.377,,.412,.850,,.015,7,,.428,.456,,0,0,bridgmi01
58,Miles Bridges,SF,25,CHO,15,544,.470,12.9,,.657,.331,.203,.047,.076,.343,,.542,.692,.417,.273,.389,.333,,.702,.852,,.068,15,,.136,.364,,2,0,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,130,.440,13.1,,.560,.160,.400,.000,.000,.440,,.571,.750,.500,,,.273,,.875,1.000,,.200,5,,.545,.167,,0,0,brissos01
60,Malcolm Brogdon,PG,31,POR,19,519,.421,15.7,,.591,.198,.147,.123,.123,.409,,.443,.580,.432,.419,.258,.388,,.227,.675,,.004,0,,.165,.471,,0,0,brogdma01
61,Armoni Brooks,PG,25,BRK,7,64,.333,19.8,,.296,.148,.111,.000,.037,.704,,.250,.000,.667,,.000,.368,,1.000,1.000,,.000,0,,.053,.000,,0,0,brookar01
62,Dillon Brooks,SF,28,HOU,25,795,.483,15.0,,.557,.192,.244,.092,.030,.443,,.536,.769,.394,.480,.375,.417,,.617,.980,,.011,3,,.167,.450,,2,0,brookdi01
